nsf_proposal_links_v0,researcher_name,team
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harshit Sosan Lakra,"['Harshit Sosan Lakra', 'Tina Pujara', 'Avlokita Agrawal']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harshit Sosan Lakra,"['Harshit Sosan Lakra', 'Sonal Atreya', 'Debabrata Sircar']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harshit Sosan Lakra,"['Harshit Sosan Lakra', 'Sanjoy Ghosh', 'E Rajasekar']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harshit Sosan Lakra,"['Harshit Sosan Lakra', 'Partha Roy', 'Ramasare Prasad']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harshit Sosan Lakra,"['Harshit Sosan Lakra', 'Smriti Saraswat']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harshit Sosan Lakra,"['Harshit Sosan Lakra', 'Akhil Upadhyay']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['Mahua Mukherjee', 'V Devadas', 'Jitin Singla', 'Sachin Suresh Tiwari', 'Shailly Tomar']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['Mahua Mukherjee', 'P Gopinath', 'Saptarshi Kolay', 'Prabhjot Singh Chani', 'Rajesh Kumar']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['Mahua Mukherjee', 'Gaurav Raheja', 'Krishna Mohan Poluri', 'Ranjana Pathania', 'Sanjoy Ghosh']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['Mahua Mukherjee', 'Shubhajit Sadhukhan', 'Sanjoy Ghosh', 'Ramasare Prasad']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['Mahua Mukherjee', 'Jitin Singla', 'Gaurav Raheja', 'Bijan Choudhury']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['Mahua Mukherjee', 'Shubhajit Sadhukhan', 'Ranjana Pathania']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['Mahua Mukherjee', 'Harsh Chauhan', 'Shailly Tomar']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['Mahua Mukherjee', 'Smriti Saraswat']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['Mahua Mukherjee', 'Jitin Singla']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['Mahua Mukherjee', 'Ashwani Kumar Sharma']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhjot Singh Chani,"['Prabhjot Singh Chani', 'Krishna Mohan Poluri', 'N K Navani', 'Deepak Sharma', 'Prabhat Kumar Mandal']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhjot Singh Chani,"['Prabhjot Singh Chani', 'Avlokita Agrawal', 'Millie Pant', 'Srinivas Kiran Ambatipudi', 'Shubhajit Sadhukhan']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhjot Singh Chani,"['Prabhjot Singh Chani', 'Deepak Sharma', 'R. P. Singh', 'Prince Tiwari']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhjot Singh Chani,"['Prabhjot Singh Chani', 'Deepak Sharma', 'P Gopinath']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhjot Singh Chani,"['Prabhjot Singh Chani', 'Bijan Choudhury', 'Srinivas Kiran Ambatipudi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhjot Singh Chani,"['Prabhjot Singh Chani', 'Soma Rohatgi']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhjot Singh Chani,"['Prabhjot Singh Chani', 'Jitin Singla']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhjot Singh Chani,"['Prabhjot Singh Chani', 'Avlokita Agrawal']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhjot Singh Chani,"['Prabhjot Singh Chani', 'Ashwani Kumar Sharma']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhjot Singh Chani,"['Prabhjot Singh Chani', 'N K Navani', 'R. P. Singh']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,E Rajasekar,"['E Rajasekar', 'Smriti Saraswat', 'Shri Ram Yadav', 'Jaydev Dabas', 'Ashwani Kumar Sharma']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,E Rajasekar,"['E Rajasekar', 'P Gopinath', 'Gaurav Raheja', 'Rajan Arora', 'Ram Sateesh Pasupuleti']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,E Rajasekar,"['E Rajasekar', 'Mahua Mukherjee', 'Sachin Suresh Tiwari', 'Deepak Sharma', 'Krishna Mohan Poluri']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,E Rajasekar,"['E Rajasekar', 'Sonal Atreya', 'Debabrata Sircar', 'Gaurav Raheja']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,E Rajasekar,"['E Rajasekar', 'Poonam Choudhary', 'V Devadas', 'Arindam Biswas']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,E Rajasekar,"['E Rajasekar', 'Sonal Atreya', 'Prabhjot Singh Chani']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,E Rajasekar,"['E Rajasekar', 'Saptarshi Kolay', 'Ramasare Prasad']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,E Rajasekar,"['E Rajasekar', 'Deepak Sharma', 'Millie Pant']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,E Rajasekar,"['E Rajasekar', 'Harsh Chauhan']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,E Rajasekar,"['E Rajasekar', 'Partha Roy']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ram Sateesh Pasupuleti,"['Ram Sateesh Pasupuleti', 'Ranjana Pathania', 'Arindam Biswas', 'Smriti Saraswat', 'Shri Ram Yadav']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ram Sateesh Pasupuleti,"['Ram Sateesh Pasupuleti', 'Prabhat Kumar Mandal', 'Gaurav Raheja', 'P Gopinath', 'Maya S.Nair']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ram Sateesh Pasupuleti,"['Ram Sateesh Pasupuleti', 'Prabhat Kumar Mandal', 'Avlokita Agrawal', 'Krishna Mohan Poluri', 'Akhil Upadhyay']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ram Sateesh Pasupuleti,"['Ram Sateesh Pasupuleti', 'Shubhajit Sadhukhan', 'Maya S.Nair', 'Shailly Tomar']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ram Sateesh Pasupuleti,"['Ram Sateesh Pasupuleti', 'Shri Ram Yadav', 'Sonal Atreya', 'Pravindra Kumar']"
