Metric,M0: Random baseline,M1: String / lexical matching,M2: Semantic mapper matching,M3: BoostSRL / relational learning,M6: Exact knapsack coverage,M7: Marginal-utility knapsack
SP,0.0492,0.0713,0.0365,0.0251,0.0322,0.0539
CSP,0.05,0.0709,0.0373,0.0256,0.0338,0.0533
EO,0.0565,0.0725,0.0378,0.0145,0.031,0.0439
PRP,0.0628,0.4671,0.0364,0.0308,0.0857,0.0233
TE,0.1816,6853.687,0.1258,1.3801,0.0808,0.4791
