Metric,M0: Random baseline,M1: String / lexical matching,M2: Semantic mapper matching,M3: BoostSRL / relational learning,M6: Exact knapsack coverage,M7: Marginal-utility knapsack
SP,0.0191,0.0465,0.0867,0.0057,0.0033,0.055
CSP,0.0659,0.0956,0.1076,0.1896,0.0803,0.1769
EO,0.0158,0.0348,0.0775,0.0447,0.03,0.0212
PRP,0.0271,0.0162,0.0689,0.0119,0.0213,0.0088
TE,0.5795,0.1313,1.1502,1.6817,0.4215,0.2064
