proposal_link,title,skills,researcher_name,team,goodness
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Uttam Kumar Roy,"[['Uttam Kumar Roy', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",V Devadas,"[['V Devadas', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Jaydev Dabas,"[['Jaydev Dabas', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Millie Pant,"[['Millie Pant', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Rajan Arora,"[['Rajan Arora', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Ashwani Kumar Sharma,"[['Ashwani Kumar Sharma', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Bijan Choudhury,"[['Bijan Choudhury', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Debabrata Sircar,"[['Debabrata Sircar', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Deepak Sharma,"[['Deepak Sharma', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",P Gopinath,"[['P Gopinath', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Harsh Chauhan,"[['Harsh Chauhan', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Srinivas Kiran Ambatipudi,"[['Srinivas Kiran Ambatipudi', 'Ranjana Pathania', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Pranita P Sarangi']]",[0.625]
