proposal_link,title,skills,researcher_name,team,goodness
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Arindam Biswas,"[['Arindam Biswas', 'E Rajasekar', 'Rajesh Kumar'], ['Arindam Biswas', 'Millie Pant', 'Sonal Atreya'], ['Arindam Biswas', 'E Rajasekar', 'Prince Tiwari'], ['Arindam Biswas', 'Deepak Sharma', 'Soma Rohatgi'], ['Arindam Biswas', 'Deepak Sharma', 'Saptarshi Kolay'], ['Arindam Biswas', 'Prince Tiwari', 'Sanjoy Ghosh'], ['Arindam Biswas', 'Poonam Choudhary', 'Prince Tiwari'], ['Arindam Biswas', 'E Rajasekar', 'Saptarshi Kolay'], ['Arindam Biswas', 'Deepak Sharma', 'V Devadas'], ['Arindam Biswas', 'Ram Sateesh Pasupuleti', 'Saptarshi Kolay']]","[0.5289, 0.5224, 0.5224, 0.5158, 0.5158, 0.5092, 0.5092, 0.5092, 0.5092, 0.5026]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Avlokita Agrawal,"[['Avlokita Agrawal', 'E Rajasekar', 'Sachin Suresh Tiwari'], ['Avlokita Agrawal', 'Sachin Suresh Tiwari', 'Smriti Saraswat'], ['Avlokita Agrawal', 'Millie Pant', 'Sonal Atreya'], ['Avlokita Agrawal', 'E Rajasekar', 'Saptarshi Kolay'], ['Avlokita Agrawal', 'E Rajasekar', 'Prince Tiwari'], ['Avlokita Agrawal', 'Deepak Sharma', 'Saptarshi Kolay'], ['Avlokita Agrawal', 'Poonam Choudhary', 'Sonal Atreya'], ['Avlokita Agrawal', 'Ram Sateesh Pasupuleti', 'V Devadas'], ['Avlokita Agrawal', 'Ram Sateesh Pasupuleti', 'Soma Rohatgi']]","[0.5355, 0.5224, 0.5224, 0.5158, 0.5158, 0.5158, 0.5092, 0.5026, 0.4961]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Gaurav Raheja,"[['Gaurav Raheja', 'Akhil Upadhyay', 'E Rajasekar', 'R. P. Singh'], ['Gaurav Raheja', 'Jaydev Dabas', 'Ranjana Pathania', 'Sanjoy Ghosh'], ['Gaurav Raheja', 'Akhil Upadhyay', 'R. P. Singh', 'Ram Sateesh Pasupuleti'], ['Gaurav Raheja', 'Akhil Upadhyay', 'Jaydev Dabas', 'Millie Pant'], ['Gaurav Raheja', 'E Rajasekar', 'Sachin Suresh Tiwari'], ['Gaurav Raheja', 'Prince Tiwari', 'Sachin Suresh Tiwari'], ['Gaurav Raheja', 'Ram Sateesh Pasupuleti', 'Sachin Suresh Tiwari'], ['Gaurav Raheja', 'Millie Pant', 'Sonal Atreya'], ['Gaurav Raheja', 'E Rajasekar', 'Rajesh Kumar'], ['Gaurav Raheja', 'Poonam Choudhary', 'Sonal Atreya']]","[0.5539, 0.5408, 0.5408, 0.5408, 0.5224, 0.5158, 0.5092, 0.5092, 0.5092, 0.5026]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Harshit Sosan Lakra,"[['Harshit Sosan Lakra', 'Avlokita Agrawal', 'E Rajasekar', 'Saptarshi Kolay'], ['Harshit Sosan Lakra', 'Akhil Upadhyay', 'E Rajasekar', 'Rajesh Kumar'], ['Harshit Sosan Lakra', 'Gaurav Raheja', 'Millie Pant', 'Sonal Atreya'], ['Harshit Sosan Lakra', 'Ashwani Kumar Sharma', 'Deepak Sharma', 'Saptarshi Kolay'], ['Harshit Sosan Lakra', 'Bijan Choudhury', 'E Rajasekar', 'Saptarshi Kolay'], ['Harshit Sosan Lakra', 'Avlokita Agrawal', 'Ram Sateesh Pasupuleti', 'V Devadas'], ['Harshit Sosan Lakra', 'Ashwani Kumar Sharma', 'E Rajasekar', 'Saptarshi Kolay'], ['Harshit Sosan Lakra', 'Ashwani Kumar Sharma', 'Deepak Sharma', 'V Devadas'], ['Harshit Sosan Lakra', 'Ashwani Kumar Sharma', 'Deepak Sharma', 'Soma Rohatgi'], ['Harshit Sosan Lakra', 'Avlokita Agrawal', 'Ram Sateesh Pasupuleti', 'Soma Rohatgi']]","[0.5408, 0.5408, 0.5342, 0.5342, 0.5276, 0.5276, 0.5276, 0.5276, 0.5276, 0.5211]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Mahua Mukherjee,"[['Mahua Mukherjee', 'Akhil Upadhyay', 'E Rajasekar', 'R. P. Singh'], ['Mahua Mukherjee', 'Akhil Upadhyay', 'Jaydev Dabas', 'Millie Pant'], ['Mahua Mukherjee', 'Jaydev Dabas', 'Ranjana Pathania', 'Sanjoy Ghosh'], ['Mahua Mukherjee', 'Akhil Upadhyay', 'Poonam Choudhary', 'Saptarshi Kolay'], ['Mahua Mukherjee', 'Akhil Upadhyay', 'Jaydev Dabas', 'Poonam Choudhary'], ['Mahua Mukherjee', 'Sachin Suresh Tiwari', 'Sonal Atreya'], ['Mahua Mukherjee', 'Akhil Upadhyay', 'Jaydev Dabas', 'Sanjoy Ghosh'], ['Mahua Mukherjee', 'E Rajasekar', 'Sachin Suresh Tiwari'], ['Mahua Mukherjee', 'Poonam Choudhary', 'Sonal Atreya'], ['Mahua Mukherjee', 'Millie Pant', 'Sonal Atreya']]","[0.5474, 0.5342, 0.5276, 0.5276, 0.5276, 0.5224, 0.5211, 0.5158, 0.4961, 0.4961]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Prabhjot Singh Chani,"[['Prabhjot Singh Chani', 'Jaydev Dabas', 'Poonam Choudhary', 'R. P. Singh'], ['Prabhjot Singh Chani', 'Jaydev Dabas', 'Millie Pant', 'R. P. Singh'], ['Prabhjot Singh Chani', 'Akhil Upadhyay', 'Jaydev Dabas', 'Millie Pant'], ['Prabhjot Singh Chani', 'E Rajasekar', 'Sachin Suresh Tiwari'], ['Prabhjot Singh Chani', 'Sachin Suresh Tiwari', 'Smriti Saraswat'], ['Prabhjot Singh Chani', 'Millie Pant', 'Sonal Atreya'], ['Prabhjot Singh Chani', 'E Rajasekar', 'Rajesh Kumar'], ['Prabhjot Singh Chani', 'Ram Sateesh Pasupuleti', 'Sonal Atreya'], ['Prabhjot Singh Chani', 'Poonam Choudhary', 'Sonal Atreya'], ['Prabhjot Singh Chani', 'Sanjoy Ghosh', 'Sonal Atreya']]","[0.5539, 0.5539, 0.5474, 0.5355, 0.5289, 0.5289, 0.5224, 0.5092, 0.5092, 0.5026]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",E Rajasekar,"[['E Rajasekar', 'Gaurav Raheja', 'Sachin Suresh Tiwari'], ['E Rajasekar', 'Avlokita Agrawal', 'Saptarshi Kolay'], ['E Rajasekar', 'Avlokita Agrawal', 'Prince Tiwari'], ['E Rajasekar', 'Akhil Upadhyay', 'Rajesh Kumar'], ['E Rajasekar', 'Harsh Chauhan', 'Saptarshi Kolay'], ['E Rajasekar', 'Gaurav Raheja', 'Rajesh Kumar'], ['E Rajasekar', 'Bijan Choudhury', 'Prince Tiwari'], ['E Rajasekar', 'Bijan Choudhury', 'Saptarshi Kolay'], ['E Rajasekar', 'Ashwani Kumar Sharma', 'Saptarshi Kolay'], ['E Rajasekar', 'Ashwani Kumar Sharma', 'Prince Tiwari']]","[0.5224, 0.5158, 0.5158, 0.5158, 0.5092, 0.5092, 0.5092, 0.5026, 0.5026, 0.5026]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Ram Sateesh Pasupuleti,"[['Ram Sateesh Pasupuleti', 'E Rajasekar', 'Rajesh Kumar'], ['Ram Sateesh Pasupuleti', 'Harsh Chauhan', 'V Devadas'], ['Ram Sateesh Pasupuleti', 'Gaurav Raheja', 'Sachin Suresh Tiwari'], ['Ram Sateesh Pasupuleti', 'Arindam Biswas', 'Prince Tiwari'], ['Ram Sateesh Pasupuleti', 'Harsh Chauhan', 'Soma Rohatgi'], ['Ram Sateesh Pasupuleti', 'Harsh Chauhan', 'Saptarshi Kolay'], ['Ram Sateesh Pasupuleti', 'Avlokita Agrawal', 'V Devadas'], ['Ram Sateesh Pasupuleti', 'Arindam Biswas', 'Saptarshi Kolay'], ['Ram Sateesh Pasupuleti', 'Avlokita Agrawal', 'Soma Rohatgi']]","[0.5158, 0.5092, 0.5092, 0.5092, 0.5026, 0.5026, 0.5026, 0.5026, 0.4961]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Saptarshi Kolay,"[['Saptarshi Kolay', 'R. P. Singh', 'Sachin Suresh Tiwari'], ['Saptarshi Kolay', 'Avlokita Agrawal', 'E Rajasekar'], ['Saptarshi Kolay', 'Avlokita Agrawal', 'Deepak Sharma'], ['Saptarshi Kolay', 'E Rajasekar', 'Harsh Chauhan'], ['Saptarshi Kolay', 'Ashwani Kumar Sharma', 'Deepak Sharma'], ['Saptarshi Kolay', 'Arindam Biswas', 'E Rajasekar'], ['Saptarshi Kolay', 'Harsh Chauhan', 'Ram Sateesh Pasupuleti'], ['Saptarshi Kolay', 'Bijan Choudhury', 'E Rajasekar'], ['Saptarshi Kolay', 'Ashwani Kumar Sharma', 'E Rajasekar'], ['Saptarshi Kolay', 'Arindam Biswas', 'Ram Sateesh Pasupuleti']]","[0.5224, 0.5158, 0.5158, 0.5092, 0.5092, 0.5092, 0.5026, 0.5026, 0.5026, 0.5026]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'importance', 'india', 'major', 'number', 'objective', 'potential', 'process', 'range', 'result', 'role', 'solution', 'world']",Shubhajit Sadhukhan,"[['Shubhajit Sadhukhan', 'Ashwani Kumar Sharma', 'Poonam Choudhary', 'Saptarshi Kolay'], ['Shubhajit Sadhukhan', 'Gaurav Raheja', 'Poonam Choudhary', 'R. P. Singh'], ['Shubhajit Sadhukhan', 'Gaurav Raheja', 'Millie Pant', 'Soma Rohatgi'], ['Shubhajit Sadhukhan', 'Gaurav Raheja', 'Jaydev Dabas', 'Millie Pant'], ['Shubhajit Sadhukhan', 'Ashwani Kumar Sharma', 'Jaydev Dabas', 'Poonam Choudhary'], ['Shubhajit Sadhukhan', 'Sachin Suresh Tiwari', 'Soma Rohatgi'], ['Shubhajit Sadhukhan', 'E Rajasekar', 'Sachin Suresh Tiwari'], ['Shubhajit Sadhukhan', 'Gaurav Raheja', 'Millie Pant', 'R. P. Singh'], ['Shubhajit Sadhukhan', 'Jaydev Dabas', 'Sachin Suresh Tiwari'], ['Shubhajit Sadhukhan', 'Ramasare Prasad', 'Sachin Suresh Tiwari']]","[0.5474, 0.5408, 0.5408, 0.5408, 0.5408, 0.5289, 0.5289, 0.5276, 0.5158, 0.5092]"
