hyperlink,skills
v0_069_call___unescojapan_young_researchs_fellowship_programme_unescokeizo_obuchi_research_fellowships_programme_cycle_2018,general
v0_070_call_for_nominations_serb_distinguished_fellowship_last_date_upto_30_november_2018,engineering
v0_071_dst_dfg_awards_for_participation_in_the_69th_meeting_of_nobel_laureates__students_lindau_germany,general
v0_072_india_sweden_joint_call_2018,"computer, concern, engineering, environment, material"
v0_073_joint_call_for_proposals___india_bulgaria_bilateral_scientific_and_technological_cooperation,material
v0_074_advertisement_for_science_and_technology_of_yoga_and_meditation_satyam,"aspect, effect, investigation"
v0_075_call_for_proposals_for_optimal_water_use_in_industrial_sector_water_conservation_water_use_efficiency_waste_water_recovery_utilization_of_residues,"adoption, demand, design, efficiency, population, situation, urbanization, use, waste"
v0_076_call___indo_australia_fund_for_scientific_and_technological_cooperation_indo_aisrf_round_11,"premier, round"
v0_077_india___ukieri_call_for_proposal,"building, capacity building"
v0_078_india_science_and_research_fellowship_programme,"building, capacity building, century, instrument, material, premier"
v0_079_indo_german_science__technology_centre_igstc_announces_call_for_grant_applications_for_indo_german_r__d_partnership_on_research_projects_with_industrial_relevance,"urban, waste"
v0_080_special_call_for_proposals_under_scheduled_castes_sc_and_scheduled_tribes_st_category_under_icps_programme,"artificial intelligence, building, machine learning"
v0_081_call___indo_norway_joint_research_projects_in_st,"environment, material"
v0_082_call_for_nomination_workshop_on_design_and_evaluation_of_innovation_policies_with_a_specific_focus_on_scientometrics,"design, edition, iisc bengaluru, model, survey"
v0_083_indo_russian_joint_call_for_proposals_dst_rfbr,"computer, engineering, fundamental"
v0_084_call_open_for_11th_batch_of_wos_ckiran_ipr,"bachelor, master, woman"
v0_085_national_grand_challenge_awards_for_designing_user_friendly_smart_solar_cooking_solutions,"design, feature, rural, volume"
v0_086_india__egypt_call_for_proposal,engineering
v0_087_swarnajayanti_fellowships_scheme_2018_19,engineering
v0_088_dst_overseas_visiting_fellowship_admissions,general
v0_089_sustainable__innovative_technologies_in_agricultureagro_tech_under_the_scheme_technology_development_programme,"give, supply chain"
v0_090_scheme_for_young_scientists_and_technologists,general
v0_091_chord_nstmis_scheme_call_for_proposals_2018_19,"collection, material, sponsor"
v0_092_call_for_proposals_under_dst_ic_impact_indo_canada_joint_research_programmes,"advance, asia, building, city, design, efficiency, energy consumption, environment, material, percent, population, smart city, urban, use, waste"
v0_093_2019_brics_calls_for_proposals_for_multilateral_rd_projects,"disaster, efficiency, material"
v0_094_global_cooling_prize,"demand, environment, global warming, threat, urbanization"
v0_095_wti_call_2019_research_technology_innovation_on_nexus_of_water_with_energy_food_and_health,"agricultural, demand, efficiency, lab, use, waste"
v0_096_ukieri_dst_partnership_development_workshops,british
v0_097_call_for_joint_project_proposals_2019___india_czech_bilateral_scientific_and_technological_cooperation,material
v0_098_call_for_india_ethiopia_innovation__technology_commercialization_programme_ieitcp,"animal, environment, initial"
v0_099_call_for_proposal_of_nidhi_prayas_program,general
v0_100_indo__poland_joint_research_programme_call_for_proposals_2019,"agricultural, engineering"
