proposal_link,title,skills,researcher_name,team,goodness
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Jaydev Dabas,"[['Jaydev Dabas', 'Prabhat Kumar Mandal'], ['Jaydev Dabas', 'Krishna Mohan Poluri'], ['Jaydev Dabas', 'Deepak Sharma'], ['Jaydev Dabas', 'Debabrata Sircar'], ['Jaydev Dabas', 'Arindam Biswas']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Millie Pant,"[['Millie Pant', 'Prabhat Kumar Mandal'], ['Millie Pant', 'Krishna Mohan Poluri'], ['Millie Pant', 'Deepak Sharma'], ['Millie Pant', 'Debabrata Sircar'], ['Millie Pant', 'Arindam Biswas']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Rajan Arora,"[['Rajan Arora', 'Prabhat Kumar Mandal'], ['Rajan Arora', 'Krishna Mohan Poluri'], ['Rajan Arora', 'Deepak Sharma'], ['Rajan Arora', 'Debabrata Sircar'], ['Rajan Arora', 'Arindam Biswas']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Ashwani Kumar Sharma,"[['Ashwani Kumar Sharma', 'Sachin Suresh Tiwari'], ['Ashwani Kumar Sharma', 'Ranjana Pathania'], ['Ashwani Kumar Sharma', 'Rajesh Kumar'], ['Ashwani Kumar Sharma', 'Mahua Mukherjee'], ['Ashwani Kumar Sharma', 'E Rajasekar']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Bijan Choudhury,"[['Bijan Choudhury', 'Prabhat Kumar Mandal'], ['Bijan Choudhury', 'Krishna Mohan Poluri'], ['Bijan Choudhury', 'Deepak Sharma'], ['Bijan Choudhury', 'Debabrata Sircar'], ['Bijan Choudhury', 'Arindam Biswas']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Debabrata Sircar,[['Debabrata Sircar']],[0.4]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Deepak Sharma,[['Deepak Sharma']],[0.4]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",P Gopinath,"[['P Gopinath', 'Sachin Suresh Tiwari'], ['P Gopinath', 'Ranjana Pathania'], ['P Gopinath', 'Rajesh Kumar'], ['P Gopinath', 'Mahua Mukherjee'], ['P Gopinath', 'E Rajasekar']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Harsh Chauhan,"[['Harsh Chauhan', 'Prabhat Kumar Mandal'], ['Harsh Chauhan', 'Krishna Mohan Poluri'], ['Harsh Chauhan', 'Deepak Sharma'], ['Harsh Chauhan', 'Debabrata Sircar'], ['Harsh Chauhan', 'Arindam Biswas']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Srinivas Kiran Ambatipudi,"[['Srinivas Kiran Ambatipudi', 'Prabhat Kumar Mandal'], ['Srinivas Kiran Ambatipudi', 'Krishna Mohan Poluri'], ['Srinivas Kiran Ambatipudi', 'Deepak Sharma'], ['Srinivas Kiran Ambatipudi', 'Debabrata Sircar'], ['Srinivas Kiran Ambatipudi', 'Arindam Biswas']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Krishna Mohan Poluri,[['Krishna Mohan Poluri']],[0.4]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Maya S.Nair,"[['Maya S.Nair', 'Sachin Suresh Tiwari'], ['Maya S.Nair', 'Ranjana Pathania'], ['Maya S.Nair', 'Rajesh Kumar'], ['Maya S.Nair', 'Mahua Mukherjee'], ['Maya S.Nair', 'E Rajasekar']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",N K Navani,"[['N K Navani', 'Sachin Suresh Tiwari'], ['N K Navani', 'Ranjana Pathania'], ['N K Navani', 'Rajesh Kumar'], ['N K Navani', 'Mahua Mukherjee'], ['N K Navani', 'E Rajasekar']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Partha Roy,"[['Partha Roy', 'Sachin Suresh Tiwari'], ['Partha Roy', 'Ranjana Pathania'], ['Partha Roy', 'Rajesh Kumar'], ['Partha Roy', 'Mahua Mukherjee'], ['Partha Roy', 'E Rajasekar']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Poonam Choudhary,"[['Poonam Choudhary', 'Prabhat Kumar Mandal'], ['Poonam Choudhary', 'Krishna Mohan Poluri'], ['Poonam Choudhary', 'Deepak Sharma'], ['Poonam Choudhary', 'Debabrata Sircar'], ['Poonam Choudhary', 'Arindam Biswas']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Prabhat Kumar Mandal,[['Prabhat Kumar Mandal']],[0.4]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Pranita P Sarangi,"[['Pranita P Sarangi', 'Prabhat Kumar Mandal'], ['Pranita P Sarangi', 'Krishna Mohan Poluri'], ['Pranita P Sarangi', 'Deepak Sharma'], ['Pranita P Sarangi', 'Debabrata Sircar'], ['Pranita P Sarangi', 'Arindam Biswas']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Pravindra Kumar,"[['Pravindra Kumar', 'Sachin Suresh Tiwari'], ['Pravindra Kumar', 'Ranjana Pathania'], ['Pravindra Kumar', 'Rajesh Kumar'], ['Pravindra Kumar', 'Mahua Mukherjee'], ['Pravindra Kumar', 'E Rajasekar']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Prince Tiwari,"[['Prince Tiwari', 'Prabhat Kumar Mandal'], ['Prince Tiwari', 'Krishna Mohan Poluri'], ['Prince Tiwari', 'Deepak Sharma'], ['Prince Tiwari', 'Debabrata Sircar'], ['Prince Tiwari', 'Arindam Biswas']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",R. P. Singh,"[['R. P. Singh', 'Prabhat Kumar Mandal'], ['R. P. Singh', 'Krishna Mohan Poluri'], ['R. P. Singh', 'Deepak Sharma'], ['R. P. Singh', 'Debabrata Sircar'], ['R. P. Singh', 'Arindam Biswas']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Ramasare Prasad,"[['Ramasare Prasad', 'Prabhat Kumar Mandal'], ['Ramasare Prasad', 'Krishna Mohan Poluri'], ['Ramasare Prasad', 'Deepak Sharma'], ['Ramasare Prasad', 'Debabrata Sircar'], ['Ramasare Prasad', 'Arindam Biswas']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Ranjana Pathania,"[['Ranjana Pathania', 'P Gopinath'], ['Ranjana Pathania', 'N K Navani'], ['Ranjana Pathania', 'Maya S.Nair'], ['Ranjana Pathania', 'Jitin Singla'], ['Ranjana Pathania', 'Ashwani Kumar Sharma']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Sanjoy Ghosh,"[['Sanjoy Ghosh', 'Prabhat Kumar Mandal'], ['Sanjoy Ghosh', 'Krishna Mohan Poluri'], ['Sanjoy Ghosh', 'Deepak Sharma'], ['Sanjoy Ghosh', 'Debabrata Sircar'], ['Sanjoy Ghosh', 'Arindam Biswas']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Saugata Hazra,"[['Saugata Hazra', 'Prabhat Kumar Mandal'], ['Saugata Hazra', 'Krishna Mohan Poluri'], ['Saugata Hazra', 'Deepak Sharma'], ['Saugata Hazra', 'Debabrata Sircar'], ['Saugata Hazra', 'Arindam Biswas']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Shailly Tomar,"[['Shailly Tomar', 'Sachin Suresh Tiwari'], ['Shailly Tomar', 'Ranjana Pathania'], ['Shailly Tomar', 'Rajesh Kumar'], ['Shailly Tomar', 'Mahua Mukherjee'], ['Shailly Tomar', 'E Rajasekar']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Shri Ram Yadav,"[['Shri Ram Yadav', 'Prabhat Kumar Mandal'], ['Shri Ram Yadav', 'Krishna Mohan Poluri'], ['Shri Ram Yadav', 'Deepak Sharma'], ['Shri Ram Yadav', 'Debabrata Sircar'], ['Shri Ram Yadav', 'Arindam Biswas']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Soma Rohatgi,"[['Soma Rohatgi', 'P Gopinath'], ['Soma Rohatgi', 'N K Navani'], ['Soma Rohatgi', 'Maya S.Nair'], ['Soma Rohatgi', 'Jitin Singla'], ['Soma Rohatgi', 'Ashwani Kumar Sharma']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Sachin Suresh Tiwari,"[['Sachin Suresh Tiwari', 'P Gopinath'], ['Sachin Suresh Tiwari', 'N K Navani'], ['Sachin Suresh Tiwari', 'Maya S.Nair'], ['Sachin Suresh Tiwari', 'Jitin Singla'], ['Sachin Suresh Tiwari', 'Ashwani Kumar Sharma']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Jitin Singla,"[['Jitin Singla', 'Sachin Suresh Tiwari'], ['Jitin Singla', 'Ranjana Pathania'], ['Jitin Singla', 'Rajesh Kumar'], ['Jitin Singla', 'Mahua Mukherjee'], ['Jitin Singla', 'E Rajasekar']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Rajesh Kumar,"[['Rajesh Kumar', 'P Gopinath'], ['Rajesh Kumar', 'N K Navani'], ['Rajesh Kumar', 'Maya S.Nair'], ['Rajesh Kumar', 'Jitin Singla'], ['Rajesh Kumar', 'Ashwani Kumar Sharma']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Akhil Upadhyay,"[['Akhil Upadhyay', 'Prabhat Kumar Mandal'], ['Akhil Upadhyay', 'Krishna Mohan Poluri'], ['Akhil Upadhyay', 'Deepak Sharma'], ['Akhil Upadhyay', 'Debabrata Sircar'], ['Akhil Upadhyay', 'Arindam Biswas']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,DST-DAAD Germany Joint Call For Proposal 2017,['general'],Arindam Biswas,"[['Arindam Biswas', 'Harshit Sosan Lakra'], ['Arindam Biswas', 'Deepak Sharma'], ['Arindam Biswas', 'Debabrata Sircar'], ['Arindam Biswas', 'Ashwani Kumar Sharma'], ['Arindam Biswas', 'Akhil Upadhyay']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
v0_002_dst_daad_germany_joint_call_for_proposal_2017,DST-DAAD Germany Joint Call For Proposal 2017,['general'],Avlokita Agrawal,"[['Avlokita Agrawal', 'Harshit Sosan Lakra'], ['Avlokita Agrawal', 'Deepak Sharma'], ['Avlokita Agrawal', 'Debabrata Sircar'], ['Avlokita Agrawal', 'Ashwani Kumar Sharma'], ['Avlokita Agrawal', 'Akhil Upadhyay']]","[0.425, 0.425, 0.425, 0.425, 0.425]"
