researcher,skill_categories
Tina Pujara,"['A.0', 'B.4.1', 'B.4.2', 'B.4.3', 'C.1.2', 'C.2.0', 'C.2.3', 'D.2.1', 'D.2.7', 'D.2.9', 'D.3.4', 'D.4.6', 'E.3', 'G.2.1', 'H.2.1', 'H.3.6', 'H.4.1', 'H.5.2', 'I.2.1', 'I.2.6', 'I.2.9', 'I.4.1', 'I.4.10', 'I.4.7', 'I.5.1', 'I.5.5', 'J.1', 'K.4.2', 'K.4.4', 'K.5.2', 'K.6.1', 'K.6.5']"
Uttam Kumar Roy,"['A.0', 'B.4.3', 'B.4.5', 'B.5.3', 'B.6.2', 'B.7.1', 'B.7.3', 'C.1.2', 'D.3.3', 'D.4.9', 'E.1', 'E.3', 'F.1.1', 'F.4.1', 'G.1.2', 'G.1.5', 'G.1.7', 'G.3', 'H.2.1', 'H.5.1', 'H.5.2', 'I.2.1', 'I.2.11', 'I.2.3', 'I.2.9', 'I.4.4', 'J.1', 'J.2', 'K.1', 'K.4.2', 'K.4.3', 'K.5.1']"
V Devadas,"['C.2.0', 'C.5.1', 'C.5.3', 'D.2.1', 'D.2.11', 'D.2.2', 'D.2.9', 'D.2.m', 'D.3.3', 'D.3.4', 'D.4.5', 'D.4.6', 'F.4.2', 'G.1.2', 'G.3', 'H.2.1', 'H.3.1', 'H.3.7', 'H.4.2', 'H.5.2', 'H.5.3', 'I.1.2', 'I.2.8', 'I.3.7', 'I.4.7', 'I.5.3', 'I.6.8', 'J.2', 'J.4', 'J.7', 'K.6.0', 'K.7.2']"
Jaydev Dabas,"['A', 'B.3.1', 'B.5.1', 'C.5.3', 'D.2.1', 'D.2.2', 'D.2.4', 'D.2.9', 'D.3.2', 'D.3.3', 'D.3.4', 'D.4.2', 'E', 'F.4.2', 'G.1.2', 'G.1.7', 'G.1.8', 'G.1.9', 'H.1.1', 'H.5.1', 'I.3.5', 'I.3.7', 'I.4.2', 'I.4.8', 'I.5.5', 'I.6.8', 'K.4.1', 'K.5.1', 'K.7.m']"
Millie Pant,"['B.3.2', 'B.6.3', 'C.1.2', 'C.1.3', 'C.1.m', 'D.2.1', 'D.2.7', 'D.2.9', 'D.3.4', 'D.4.6', 'F.3.2', 'F.3.3', 'F.4.2', 'G.1.10', 'G.1.6', 'G.1.7', 'G.2.3', 'G.4', 'H.1.1', 'H.2.1', 'H.3.4', 'H.5.1', 'H.5.4', 'I.1.4', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.1', 'I.5.4', 'I.5.5', 'I.6.3', 'J.1', 'J.2', 'J.7', 'K.1', 'K.3.2', 'K.3.m', 'K.6.2', 'K.6.4']"
Rajan Arora,"['B.4.3', 'C.2.1', 'C.2.5', 'C.3', 'C.5.3', 'D.2.2', 'D.3.4', 'D.4.9', 'E.5', 'F.1.3', 'F.2.1', 'F.2.2', 'F.4.2', 'G.1', 'G.1.2', 'G.1.3', 'G.1.4', 'G.1.5', 'G.1.7', 'H.1.1', 'H.3.5', 'H.5.2', 'I.1.2', 'I.2.10', 'I.2.3', 'I.2.5', 'I.2.9', 'I.3.5', 'I.3.7', 'I.4.2', 'I.4.5', 'I.4.8', 'I.5.1', 'J.2', 'K.3.2', 'K.3.m', 'K.8.1']"
Ashwani Kumar Sharma,"['A.0', 'B.4.1', 'B.4.3', 'C.2.0', 'D.2.2', 'D.2.7', 'D.2.9', 'D.3.2', 'D.3.4', 'D.4.1', 'D.4.6', 'F.2.1', 'F.4.1', 'G.1.3', 'G.1.4', 'I.2.1', 'I.2.10', 'I.2.3', 'I.2.6', 'I.2.8', 'I.4.3', 'I.4.4', 'I.4.5', 'I.4.8', 'J.1', 'J.3', 'K.6.1', 'K.6.4', 'K.6.5', 'K.7.4']"
Bijan Choudhury,"['A.0', 'B.2.3', 'B.3.4', 'B.4.3', 'B.4.5', 'B.7.1', 'C.0', 'C.1.2', 'C.2.0', 'C.2.1', 'C.2.5', 'C.5.3', 'D.2.2', 'D.2.7', 'D.2.9', 'D.4.2', 'D.4.4', 'D.4.6', 'E.1', 'E.3', 'F.1.1', 'F.2.1', 'F.2.2', 'G.1.3', 'G.1.7', 'G.2.2', 'H.1.1', 'H.2.1', 'H.3.4', 'H.3.5', 'H.5.4', 'I.2.3', 'I.2.6', 'I.3.5', 'I.4.3', 'I.4.8', 'I.5.1', 'I.5.5', 'J.1', 'J.2', 'J.5', 'J.7', 'K.4.1', 'K.6.5']"
Debabrata Sircar,"['A.0', 'B.1.2', 'B.4.3', 'B.6.1', 'B.7.1', 'C.1.2', 'C.2.5', 'D.2.0', 'D.2.5', 'D.2.7', 'D.2.9', 'D.3.4', 'D.4.6', 'E.3', 'F.1.1', 'F.3.3', 'F.4.2', 'G.1', 'G.1.1', 'G.1.5', 'G.2.1', 'H.1.1', 'H.2.1', 'H.5.1', 'H.5.2', 'I.2.1', 'I.2.10', 'I.2.3', 'I.3.2', 'I.4.3', 'I.4.8', 'I.5.5', 'J.3', 'J.4', 'K.3.2', 'K.3.m', 'K.5.1', 'K.6.0', 'K.6.2', 'K.6.4', 'K.6.5', 'K.8.1']"
Deepak Sharma,"['A.0', 'B.1.3', 'B.2.3', 'B.3.4', 'B.4.2', 'B.4.5', 'B.5.1', 'C.1.2', 'C.1.3', 'C.1.m', 'C.2.1', 'C.2.5', 'D.2.1', 'D.2.13', 'D.2.2', 'D.2.5', 'D.2.7', 'D.2.9', 'D.2.m', 'D.3.2', 'D.3.3', 'D.3.4', 'D.4.1', 'D.4.6', 'E.3', 'F.3.3', 'G.1.3', 'G.1.7', 'H.2.1', 'H.5.2', 'H.5.4', 'I.2.1', 'I.2.3', 'I.2.6', 'I.3.3', 'I.4.3', 'I.4.7', 'I.5.1', 'J.1', 'J.2', 'K.4.4', 'K.7.2', 'K.8.1']"
P Gopinath,"['A.0', 'A.1', 'C.1.2', 'C.2.1', 'C.2.4', 'C.2.5', 'D.2.11', 'D.2.2', 'D.2.7', 'D.3.2', 'D.3.3', 'D.3.4', 'D.4.9', 'E.1', 'E.3', 'G.1.2', 'G.1.5', 'H.2.1', 'H.2.2', 'H.2.3', 'H.3.4', 'H.5.2', 'H.5.4', 'I.2.1', 'I.4.4', 'I.4.8', 'I.5.5', 'J.1', 'J.3', 'J.6', 'K.4.1', 'K.7.2']"
Harsh Chauhan,"['B', 'C.2.1', 'C.2.5', 'C.5.1', 'C.5.2', 'D.2.7', 'D.3.1', 'D.3.3', 'D.3.4', 'D.4.9', 'E.3', 'E.5', 'F.2.1', 'F.3.3', 'F.4.2', 'G.1', 'G.1.7', 'G.2.1', 'H.2.1', 'H.3.1', 'H.3.3', 'H.4.2', 'H.5.1', 'H.5.2', 'H.5.4', 'I.4.7', 'I.4.8', 'I.6.8', 'J.7', 'K.4.4']"
Srinivas Kiran Ambatipudi,"['D.2.0', 'E.3', 'I.2.1', 'I.2.9', 'J.1']"
Krishna Mohan Poluri,"['A.0', 'B.3.2', 'B.4.1', 'B.4.3', 'B.7.1', 'C.2.0', 'C.2.5', 'C.5.3', 'D.2.11', 'D.2.2', 'D.3.4', 'D.4.1', 'D.4.6', 'E.5', 'F.4.2', 'G.1', 'G.1.3', 'G.2.1', 'H.2.2', 'H.4.1', 'H.5.2', 'H.5.4', 'I.2.1', 'I.2.10', 'I.2.3', 'I.3.3', 'I.4.4', 'I.4.8', 'I.6.7', 'J.1', 'J.3', 'K.4.1', 'K.6.5']"
Maya S.Nair,"['A.0', 'A.2', 'B.2.3', 'B.3.4', 'B.4.5', 'C.2.1', 'C.2.5', 'C.5.5', 'D.2.1', 'D.3.4', 'D.4.2', 'D.4.6', 'E.1', 'E.3', 'F.1.1', 'F.4.1', 'F.4.2', 'G.1.2', 'G.1.3', 'G.1.6', 'G.1.7', 'G.2.2', 'H.2.3', 'H.3.1', 'H.5.1', 'H.5.2', 'I.2.1', 'I.2.6', 'I.2.9', 'I.3.6', 'I.3.7', 'I.4.5', 'I.7.1', 'J.1', 'J.6', 'K.4.1', 'K.6.5']"
N K Navani,"['A.2', 'B.2.3', 'B.3.4', 'B.4.5', 'C.1.2', 'C.1.3', 'C.2.1', 'C.2.5', 'C.5.5', 'D.2.1', 'D.2.11', 'D.2.7', 'D.2.9', 'D.3.1', 'D.3.4', 'E.1', 'F.2.2', 'F.3.1', 'F.4.2', 'G.1.3', 'G.2.2', 'H.2.1', 'H.4.2', 'I.2.1', 'I.2.10', 'I.4.8', 'I.5.1', 'J.1', 'J.2', 'J.7', 'K.1', 'K.4.1', 'K.4.2', 'K.4.3', 'K.6.1', 'K.6.5', 'K.7.m']"
Partha Roy,"['A.0', 'B.4.2', 'B.6.1', 'C.4', 'D.2.2', 'D.2.9', 'D.3.4', 'D.4.2', 'E.1', 'E.3', 'F.3.2', 'F.4.2', 'G.1.7', 'H.2.1', 'H.2.4', 'H.3.7', 'H.5.1', 'H.5.5', 'I.2.10', 'I.2.11', 'I.2.7', 'I.4.8', 'I.5.5', 'I.6.8', 'J.1', 'J.2', 'K.3.2', 'K.4.1']"
Poonam Choudhary,"['A.0', 'B.7.1', 'C.5.3', 'D.2.11', 'D.2.13', 'D.2.5', 'D.2.7', 'D.2.9', 'D.3.3', 'D.3.4', 'D.4.6', 'E.1', 'E.3', 'E.5', 'F.2.1', 'F.3.2', 'F.3.3', 'G.1.2', 'G.1.3', 'G.2.1', 'H.2.1', 'H.5.2', 'I.1.2', 'I.2.3', 'I.2.6', 'I.4.3', 'I.5.3', 'I.6.8', 'J.1', 'J.2', 'K.4.4', 'K.5.1', 'K.6.5', 'K.8.1']"
Prabhat Kumar Mandal,"['B', 'B.4.2', 'B.6.3', 'C.1.3', 'C.2.0', 'C.2.1', 'C.2.5', 'C.2.6', 'D.2.2', 'D.2.7', 'D.3.3', 'D.4.2', 'F.2.1', 'F.4.2', 'G.1.7', 'G.3', 'H.3.3', 'H.4.3', 'H.5.2', 'I.2.10', 'I.2.3', 'I.2.6', 'I.4.2', 'I.4.3', 'I.4.4', 'I.4.8', 'I.5.1', 'J.1', 'J.6', 'K.4.1', 'K.6.1', 'K.6.4', 'K.6.5', 'K.7.4', 'K.8.1']"
Pranita P Sarangi,"['B.6.1', 'D.2.7', 'E.3', 'F.2.1', 'G.1', 'H.5.2', 'I.2.6', 'J.5', 'K.7.4']"
Pravindra Kumar,"['A.0', 'B.4.2', 'B.6.1', 'C.0', 'C.2.0', 'C.2.2', 'D.2.2', 'D.2.7', 'D.4.1', 'D.4.6', 'F.1.1', 'F.2.1', 'F.3.1', 'F.4.1', 'G.1.4', 'H.2.1', 'I.1.2', 'I.2.10', 'I.2.3', 'I.2.6', 'I.2.8', 'I.3.2', 'I.3.3', 'I.4.1', 'I.4.3', 'I.4.4', 'I.4.8', 'I.5.3', 'J.3', 'K.4.1', 'K.6.1', 'K.6.5', 'K.7.4']"
Prince Tiwari,"['A.0', 'B.3.2', 'B.4.2', 'C.1.2', 'C.2.5', 'D.2.5', 'D.2.7', 'D.2.9', 'D.4.2', 'D.4.5', 'D.4.6', 'F.2.1', 'H.1.1', 'H.2.1', 'H.5.2', 'H.5.4', 'H.5.5', 'I.1.1', 'I.2.10', 'I.2.7', 'I.3.7', 'I.4.10', 'I.5.4', 'J.1', 'J.2', 'J.3', 'J.4', 'J.7', 'K.3.2', 'K.6.2', 'K.6.5', 'K.7.4']"
R. P. Singh,"['B', 'B.3.2', 'B.7.1', 'C.4', 'C.5.3', 'D.2.1', 'D.2.2', 'D.2.7', 'D.2.9', 'D.3.3', 'D.3.4', 'D.4.1', 'D.4.6', 'E.3', 'E.5', 'F.1.1', 'F.2.2', 'G.1.5', 'G.1.7', 'G.1.8', 'H.5.2', 'I.2.6', 'I.4.4', 'J.2', 'K.1', 'K.6.5']"
Ramasare Prasad,"['A.0', 'B.4.3', 'B.6.3', 'C.0', 'C.1.2', 'C.2.1', 'C.5.5', 'D.2.1', 'D.2.7', 'D.3.1', 'D.3.2', 'D.3.3', 'D.3.4', 'D.4.1', 'D.4.6', 'E.1', 'E.3', 'F.1.2', 'F.3.3', 'G.1.7', 'G.2.2', 'H.2.1', 'H.2.2', 'H.4.1', 'H.4.2', 'H.5.1', 'I.2.9', 'I.4.1', 'I.6.7', 'J.1', 'J.3', 'K.3.2', 'K.3.m', 'K.4.1', 'K.6.1', 'K.6.5']"
Ranjana Pathania,"['B.4.3', 'B.5.1', 'C.1.2', 'C.1.3', 'C.2.5', 'D', 'D.2.1', 'D.2.9', 'D.3.4', 'E.1', 'E.3', 'F.4.2', 'G.1.2', 'G.1.3', 'G.1.6', 'G.2.2', 'H.1.1', 'H.2.1', 'H.2.2', 'H.3.4', 'H.5.1', 'H.5.2', 'I.2.1', 'I.2.6', 'I.3.3', 'I.5.1', 'J.1', 'J.3', 'K.3.2', 'K.3.m', 'K.4.2', 'K.4.3']"
Sanjoy Ghosh,"['A.0', 'B.4.1', 'B.4.3', 'B.6.1', 'B.7.1', 'C.2.1', 'C.2.5', 'C.5.3', 'D.2.11', 'D.2.7', 'D.2.9', 'D.3.3', 'D.3.4', 'D.4.2', 'D.4.9', 'E.1', 'F.1.2', 'G.1.10', 'G.1.5', 'G.1.7', 'G.2.1', 'G.2.3', 'G.3', 'H.1.1', 'H.2.1', 'H.5.2', 'I.1.4', 'I.3.8', 'I.4.3', 'I.4.7', 'I.4.9', 'I.5.4', 'I.6.3', 'J.2', 'J.6', 'K.4.1', 'K.4.2', 'K.8.1']"
Saugata Hazra,"['A.0', 'B.4.1', 'B.6.1', 'C.2.1', 'D.2.7', 'D.2.9', 'D.3.2', 'D.3.3', 'E', 'E.3', 'F.1.2', 'F.2.1', 'F.3.3', 'G.1', 'G.1.6', 'G.1.7', 'G.3', 'H.2.2', 'H.3.1', 'H.3.5', 'H.4.2', 'H.5.1', 'H.5.2', 'H.5.5', 'I.1.2', 'I.2.1', 'I.2.6', 'I.4.10', 'I.4.4', 'I.4.7', 'I.5.3', 'J.1', 'J.3', 'K.3.2', 'K.3.m', 'K.4.1', 'K.4.2', 'K.4.3', 'K.4.4', 'K.6.1', 'K.6.2', 'K.6.5', 'K.7.m']"
Shailly Tomar,"['A.0', 'B.4.2', 'B.4.3', 'D.2.2', 'D.2.7', 'D.3.2', 'D.3.3', 'D.3.4', 'D.4.6', 'D.4.9', 'E.1', 'F.4.2', 'G.1.4', 'G.1.7', 'G.2.2', 'H.2.1', 'H.3.1', 'I.2.10', 'I.2.3', 'I.2.8', 'I.4.3', 'I.4.4', 'I.4.8', 'J.3', 'K.4.4', 'K.6.1', 'K.7.4']"
Shri Ram Yadav,"['A.0', 'B', 'B.2.3', 'B.3.4', 'B.4.2', 'B.4.5', 'B.7.1', 'C.0', 'C.1.2', 'C.2.1', 'C.2.5', 'C.5.3', 'D.2.7', 'D.2.9', 'D.3.3', 'D.4.4', 'E.3', 'F.3.1', 'G.1.5', 'G.1.7', 'H.4.3', 'H.5.1', 'I.2.1', 'I.2.10', 'I.2.3', 'I.2.9', 'I.3.7', 'I.4.3', 'I.4.8', 'I.5.1', 'J.1', 'K.4.2', 'K.4.3', 'K.6.2']"
Soma Rohatgi,"['A.0', 'B.0', 'B.1.0', 'B.1.3', 'B.2.0', 'B.2.3', 'B.3.0', 'B.3.4', 'B.4.0', 'B.4.1', 'B.4.3', 'B.4.5', 'B.5.0', 'B.6.0', 'B.6.1', 'B.7.0', 'C.0', 'C.1.0', 'C.1.3', 'C.2.0', 'C.2.3', 'C.3', 'C.5.0', 'C.5.5', 'D.0', 'D.1.0', 'D.2.0', 'D.2.11', 'D.2.5', 'D.2.9', 'D.3.0', 'D.3.3', 'D.3.4', 'D.4.0', 'D.4.6', 'E.0', 'F.0', 'F.1.0', 'F.2.0', 'F.3.0', 'F.4.0', 'F.4.2', 'G.0', 'G.1.0', 'G.1.6', 'G.2.0', 'H.0', 'H.1.0', 'H.2.0', 'H.3.0', 'H.3.7', 'H.4.0', 'H.5.0', 'H.5.2', 'I.0', 'I.1.0', 'I.1.2', 'I.2.0', 'I.2.10', 'I.2.3', 'I.2.6', 'I.3.0', 'I.3.3', 'I.3.7', 'I.4.0', 'I.4.8', 'I.5.0', 'I.5.1', 'I.5.3', 'I.5.5', 'I.6.0', 'I.6.8', 'I.7.0', 'J.0', 'J.1', 'J.2', 'J.3', 'J.6', 'K.0', 'K.3.0', 'K.4.0', 'K.4.2', 'K.4.3', 'K.5.0', 'K.6.0', 'K.6.5', 'K.7.0', 'K.8.0']"
Sachin Suresh Tiwari,"['B.6.1', 'B.7.1', 'C.1.2', 'C.1.3', 'C.2.6', 'C.5.3', 'D.2.1', 'D.2.7', 'D.2.9', 'D.3.4', 'D.4.9', 'E.1', 'E.3', 'F.2.2', 'F.3.1', 'G.1.7', 'G.2.2', 'H.3.4', 'H.5.1', 'H.5.2', 'I.2', 'I.2.1', 'I.2.6', 'I.2.8', 'I.3.5', 'I.4.3', 'I.4.8', 'I.5.1', 'K.1', 'K.5', 'K.6.1', 'K.6.5', 'K.8', 'K.8.0']"
Jitin Singla,"['A.0', 'B.5.1', 'B.7', 'B.7.1', 'C.1.2', 'C.2.3', 'C.2.5', 'D.2.9', 'D.3.3', 'D.3.4', 'D.4.6', 'F.4.2', 'G.1.7', 'H.2.1', 'H.5.2', 'I.2.6', 'I.4.0', 'I.5.4', 'K', 'K.4.4', 'K.6.2', 'K.6.5']"
Rajesh Kumar,"['A.0', 'B.0', 'B.1.0', 'B.2.0', 'B.2.3', 'B.3.0', 'B.3.4', 'B.4.0', 'B.4.2', 'B.4.3', 'B.4.5', 'B.5.0', 'B.6.0', 'B.7.0', 'C.0', 'C.1.0', 'C.1.2', 'C.2.0', 'C.2.1', 'C.5.0', 'D.0', 'D.1.0', 'D.2.0', 'D.2.2', 'D.2.7', 'D.2.9', 'D.3.0', 'D.3.3', 'D.4.0', 'D.4.1', 'D.4.8', 'D.4.9', 'E', 'E.0', 'E.3', 'E.5', 'F.0', 'F.1.0', 'F.2.0', 'F.3.0', 'F.3.3', 'F.4.0', 'F.4.1', 'G.0', 'G.1.0', 'G.1.1', 'G.1.7', 'G.1.8', 'G.2.0', 'H.0', 'H.1.0', 'H.2.0', 'H.3.0', 'H.3.1', 'H.3.4', 'H.3.7', 'H.4.0', 'H.5.0', 'H.5.2', 'H.5.4', 'H.5.5', 'I.0', 'I.1.0', 'I.2.0', 'I.2.10', 'I.2.3', 'I.2.4', 'I.2.6', 'I.3.0', 'I.3.3', 'I.3.5', 'I.3.7', 'I.4.0', 'I.4.1', 'I.4.3', 'I.4.7', 'I.4.8', 'I.5.0', 'I.6.0', 'I.7.0', 'J.0', 'J.2', 'K.0', 'K.3.0', 'K.4.0', 'K.4.2', 'K.4.3', 'K.5.0', 'K.6.0', 'K.6.1', 'K.6.4', 'K.7.0', 'K.7.4', 'K.8.0']"
Akhil Upadhyay,"['B.1.2', 'B.2.3', 'B.3.2', 'B.3.4', 'B.4.5', 'B.5.2', 'B.5.3', 'B.6.2', 'B.6.3', 'B.7.1', 'B.7.2', 'B.7.3', 'C.0', 'C.2.1', 'C.2.5', 'D.2.8', 'D.3.3', 'D.3.4', 'D.4.1', 'D.4.9', 'E.2', 'F.2.1', 'G.1.2', 'G.1.6', 'G.1.7', 'H.2.4', 'H.3.4', 'H.3.5', 'H.5.2', 'I.2.10', 'I.2.6', 'I.3.7', 'I.4.7', 'I.4.8', 'I.5.1', 'I.6.8', 'J.2', 'J.6']"
