nsf_proposal_links_v0,skills
v0_034_call_for_proposal_for_device_development_programme___2017,"['application', 'area', 'country', 'department', 'development', 'disaster', 'disaster management', 'level', 'low cost', 'system']"
v0_035_call_for_proposal___science__heritage_research_initiativeshri,"['challenge', 'computer science', 'decade', 'department', 'development', 'india', 'investigation', 'material', 'process', 'range', 'resource', 'role', 'significance', 'study', 'work']"
v0_036_indo___norway_joint_energy_call_2017,"['application', 'area', 'department', 'field', 'increase', 'india', 'letter', 'purpose', 'result', 'support', 'system']"
v0_037_eu_india_water_cooperation_on_research_and_innovation_joint_call_for_proposals___2017__2018,"['area', 'centre', 'challenge', 'condition', 'control system', 'department', 'field', 'india', 'priority', 'rural', 'solution', 'support', 'system']"
v0_038_scheme_for_young_scientists_and_technologists,['general']
v0_039_invites_rd_project_proposals_on_spatial_data_infrastructures_sdi_for_urban_governance_applications,"['application', 'area', 'city', 'concept', 'department', 'development', 'india', 'indian city', 'process', 'smart city', 'support', 'system']"
v0_040_advertisement_for_the_swarnajayanti_fellowships_scheme_2017_18,"['application', 'area', 'department', 'impact', 'india', 'need', 'number', 'phd', 'potential', 'support', 'year']"
v0_041_announcement_for_inviting_applications_for_participation_in_3rd_brics_young_scientist_conclave_durban_south_africa25_29_june_2018,"['application', 'attention', 'challenge', 'country', 'declaration', 'department', 'edition', 'field', 'future', 'india', 'place', 'year']"
v0_042_ministry_of_mines___invites_science_and_technology_project_proposals,['general']
v0_043_call_for_oriented_researchtechnology_development_proposals_on_materials_for_energy_storage_mes___2018,"['advance', 'alternative', 'area', 'challenge', 'condition', 'department', 'design', 'development', 'future', 'india', 'material', 'range', 'storage system', 'support', 'system']"
v0_044_call_for_proposals_for_establishing_technology_enabling_centres_tec_in_university_system,"['centre', 'country', 'development', 'institute', 'interaction', 'objective', 'outcome', 'process', 'resource', 'role', 'step', 'support', 'system', 'year']"
v0_045_call_for_proposals_under_state_science_and_technology_sstp__2018_19___call_date_18042018_to_31052018,"['application', 'area', 'challenge', 'country', 'demand', 'department', 'development', 'field', 'india', 'institute', 'lab', 'level', 'model', 'need', 'pilot scale', 'resource', 'solution', 'study', 'support', 'survey']"
v0_046_call_for_proposals_for_biomedical_device_and_technology_development_bdtd_tdt_division,"['area', 'department', 'design', 'development', 'facility', 'financial support', 'number', 'pilot scale', 'product', 'support', 'work', 'year']"
