proposal,skill_categories
v0_017_indo_norway_joint_call_on_bio_economy,"['A.0', 'D.2.1', 'E.5', 'G.1.10', 'G.1.7', 'G.2.3', 'H.2.2', 'H.2.3', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'I.7.1', 'J.5']"
v0_018_joint_call_between_india_and_austria_for_exchange_visits,"['D.3.4', 'F.2.1', 'F.3.3', 'G.1.6', 'I.2.6', 'I.4.8', 'J.1', 'J.5']"
v0_019_dst_dfg_awards_for_participation_in_the_68th_meeting_of_nobel_laureates__students_lindau_germany,"['C.0', 'D.4.6', 'E.5', 'F.3.3', 'G.1.10', 'G.2.3', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.5.5', 'I.6.3', 'J.1', 'J.2', 'J.5', 'K.6.5']"
v0_020_advertisement_for_call_for_proposal_for_dst_nrdms_summerwinter_schools_in_geospatial_st___2017___2019,"['B.4.1', 'B.4.5', 'B.5.3', 'B.6.2', 'B.7.3', 'C.1.3', 'D.2.2', 'D.3.4', 'F.1.1', 'F.4.2', 'G.1.7', 'H.3.4', 'H.3.7', 'I.2.6', 'I.4.8', 'I.5.1', 'K.1']"
v0_021_call_for_proposals_in_basic_sciences_with_russia_russian_foundation_for_basic_research,"['C.0', 'D.3.3', 'G.1.10', 'G.2.1', 'G.2.3', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.5', 'K.1', 'K.3.2']"
v0_022_funding_opportunity_announcement_foa_smart_grids,"['B.4.2', 'B.4.5', 'B.5.1', 'B.5.3', 'B.6.2', 'B.7.3', 'C.0', 'C.5.1', 'D.2.1', 'D.2.10', 'D.3.4', 'E.1', 'E.3', 'E.5', 'F.4.2', 'G.1.3', 'G.1.6', 'G.1.7', 'G.3', 'H.3.7', 'H.5.4', 'I.2.3', 'I.2.6', 'J.7', 'K.1']"
v0_023_multi_institutional_centres_on_materials_for_energy_conservation_and_storage_platform_mecsp___2017,"['C.2.1', 'C.5.3', 'D.2.7', 'D.2.9', 'F.1.1', 'F.4.2', 'G.1.10', 'G.1.3', 'G.2.3', 'H.3.4', 'H.3.7', 'H.5.2', 'H.5.4', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.5', 'J.7', 'K.1']"
v0_024_interdisciplinary_cyber_physical_systems_icps_division_detailed_call_for_proposals_cfp_on_quantum_information_science_and_technology_qust_programme,"['B.3.2', 'C.2.1', 'D.2.1', 'F.4.2', 'H', 'H.1.1', 'H.3.7', 'H.5.3', 'I.2.3', 'I.2.6', 'I.4.8', 'I.5.5', 'J.5', 'K.3.2', 'K.4.1']"
v0_025_dst_daad_joint_call_2017_recommended_projects,"['C.0', 'C.2.1', 'G.1.10', 'G.2.3', 'H.5.2', 'I.1.4', 'I.2.1', 'I.2.3', 'I.2.6', 'I.3.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.1', 'J.5', 'K.4.2', 'K.7.4']"
v0_026_3rd_information__networking_event_eu_india_call_on_water,"['B.4.5', 'B.5.3', 'B.6.2', 'B.7.2', 'B.7.3', 'C.1.3', 'C.2.6', 'C.5.3', 'D.2.7', 'D.3.4', 'G.1.6', 'G.1.7', 'I.1.3', 'I.2.1', 'I.2.6', 'I.4.8', 'I.5.1', 'J.1', 'K.1']"
v0_027_4th_information__networking_event_eu_india_call_on_water,"['B.4.5', 'B.5.3', 'B.6.2', 'B.7.3', 'C.1.3', 'C.2.6', 'C.5.3', 'D.2.7', 'D.3.4', 'G.1.6', 'G.1.7', 'I.1.3', 'I.2.1', 'I.2.6', 'I.4.8', 'I.5.1', 'J.1', 'K.1']"
v0_028_funding_opportunity_announcement_foa_off_grid_access_to_electricity,"['D.2.1', 'D.2.7', 'D.2.9', 'D.3.4', 'F.1.2', 'F.4.2', 'G.1.10', 'G.1.3', 'G.1.6', 'G.1.7', 'G.2.1', 'G.2.3', 'H.3.7', 'I.1.4', 'I.2.6', 'I.3.5', 'I.3.8', 'I.4.9', 'I.5.1', 'I.5.4', 'I.6.3', 'J.7', 'K.1', 'K.4.1']"
v0_029_date_extended_upto_18th_january_2018_for_2017_brics_call_for_proposals_for_brics_multilateral_rd_projects,"['F.1.1', 'F.4.2', 'G.1.3', 'G.2.1', 'H.1.1', 'H.3.4', 'H.5.1', 'H.5.2', 'I.2.6', 'I.4.8', 'J.1', 'J.5', 'K.1', 'K.4.1']"
v0_030_call_for_concept_note_in_waste_management_technologies,"['B.5.1', 'C.0', 'C.1.3', 'D.2.10', 'D.2.9', 'F.1.2', 'F.4.2', 'G.1.10', 'G.1.3', 'G.2.3', 'I.1.4', 'I.2.3', 'I.2.5', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.1', 'I.5.4', 'I.6.3', 'J.5']"
v0_031_2018_commonwealth_scholarship_in_the_united_kingdom,"['B.3.2', 'C.1.2', 'D.2.7', 'E.3', 'F.1.1', 'F.2.1', 'F.3.3', 'F.4.2', 'G.1.10', 'G.2.3', 'H.3.7', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.2']"
v0_032_indo_german_science__technology_centre_igstc_announces_call_for_grant_applications_for_indo_german_r__d_partnership_on_research_projects_with_industrial_relevance,"['B.4.1', 'B.4.5', 'B.5.1', 'B.5.3', 'B.6.2', 'B.7.3', 'C.0', 'C.2.1', 'C.4', 'D.2.10', 'D.2.9', 'D.3.4', 'D.4.9', 'F.3.2', 'G.1.10', 'G.1.3', 'G.2.1', 'G.2.3', 'H.2.2', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.1', 'I.5.4', 'I.6.3', 'J.5', 'K.1']"
v0_033_call_for_proposals___2018_under_india___iran_bilateral_st_cooperation,"['B.5.1', 'C.0', 'C.2.1', 'D.2.1', 'F.4.2', 'G.2.1', 'I.2.6', 'I.4.8', 'J.5', 'K.4.1']"
v0_034_call_for_proposal_for_device_development_programme___2017,"['D.4.9', 'F.4.2', 'G.1.10', 'G.2.1', 'G.2.3', 'H.3.7', 'H.5.1', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.5']"
v0_035_call_for_proposal___science__heritage_research_initiativeshri,"['B.4.1', 'C.2.6', 'C.5.3', 'D.2.2', 'D.3.4', 'F.1.1', 'F.3.3', 'F.4.2', 'G.1.3', 'G.1.7', 'G.1.8', 'H.5.5', 'I.2.6', 'I.4.8', 'K.3.2']"
v0_036_indo___norway_joint_energy_call_2017,"['D.3.4', 'E.5', 'G.1.10', 'G.2.3', 'H.2.2', 'H.3.7', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.5', 'J.7', 'K.1']"
v0_037_eu_india_water_cooperation_on_research_and_innovation_joint_call_for_proposals___2017__2018,"['C.2.1', 'D.3.3', 'E.5', 'G.1.3', 'G.1.7', 'H.3.7', 'I.2.3', 'I.2.6', 'I.3.5', 'I.4.8', 'J.5', 'K.1', 'K.4.1']"
v0_038_scheme_for_young_scientists_and_technologists,"['A.0', 'B.0', 'B.1.0', 'B.2.0', 'B.3.0', 'B.4.0', 'B.5.0', 'B.6.0', 'B.7.0', 'C.0', 'C.1.0', 'C.2.0', 'C.5.0', 'D.0', 'D.1.0', 'D.2.0', 'D.3.0', 'D.4.0', 'E.0', 'F.0', 'F.1.0', 'F.2.0', 'F.3.0', 'F.4.0', 'G.0', 'G.1.0', 'G.2.0', 'H.0', 'H.1.0', 'H.2.0', 'H.3.0', 'H.4.0', 'H.5.0', 'I.0', 'I.1.0', 'I.2.0', 'I.3.0', 'I.4.0', 'I.5.0', 'I.6.0', 'I.7.0', 'J.0', 'K.0', 'K.3.0', 'K.4.0', 'K.5.0', 'K.6.0', 'K.7.0', 'K.8.0']"
v0_039_invites_rd_project_proposals_on_spatial_data_infrastructures_sdi_for_urban_governance_applications,"['B.4.1', 'C.0', 'C.3', 'D.3.4', 'F.4.2', 'G.1.10', 'G.2.3', 'H.3.7', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.5', 'K.1']"
v0_040_advertisement_for_the_swarnajayanti_fellowships_scheme_2017_18,"['C.1.3', 'D.2.7', 'F.2.1', 'G.1.10', 'G.2.3', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.1', 'I.5.4', 'I.5.5', 'I.6.3', 'J.2', 'J.5', 'K.1']"
