proposal,skill_categories
v0_072_india_sweden_joint_call_2018,"['C.2.6', 'D.2.1', 'D.2.7', 'E.3', 'G.1.10', 'G.1.3', 'G.2.3', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'I.6.7', 'J.5', 'K.1', 'K.3.2']"
v0_073_joint_call_for_proposals___india_bulgaria_bilateral_scientific_and_technological_cooperation,"['B.5.1', 'C.0', 'C.2.1', 'D.2.1', 'F.4.2', 'G.1.3', 'G.2.1', 'I.2.6', 'I.4.8', 'J.5', 'K.4.1']"
v0_074_advertisement_for_science_and_technology_of_yoga_and_meditation_satyam,"['B.4.1', 'D.3.4', 'F.3.3', 'G.1.7', 'G.1.8', 'H.3.4', 'H.5.2', 'I.4.8', 'J.2']"
v0_075_call_for_proposals_for_optimal_water_use_in_industrial_sector_water_conservation_water_use_efficiency_waste_water_recovery_utilization_of_residues,"['B.5.1', 'B.7.1', 'C.1.2', 'C.1.3', 'C.5.3', 'D.2.1', 'D.2.10', 'D.2.7', 'E.3', 'F.1.1', 'F.4.2', 'G.1.7', 'G.2.1', 'H.3.4', 'H.3.7', 'H.5.4', 'I.2.6', 'I.3.5', 'I.4.8', 'I.5.1', 'J.1']"
v0_076_call___indo_australia_fund_for_scientific_and_technological_cooperation_indo_aisrf_round_11,"['C.2.6', 'D.2.1', 'D.3.4', 'G.1.10', 'G.2.1', 'G.2.3', 'H.3.7', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.1', 'J.5', 'K.1', 'K.4.1']"
v0_077_india___ukieri_call_for_proposal,"['B.4.5', 'B.5.3', 'B.6.2', 'B.7.3', 'C.1.3', 'C.2.0', 'F.1.1', 'F.4.2', 'G.2.1', 'I.2.6', 'I.4.8', 'J.1']"
v0_078_india_science_and_research_fellowship_programme,"['B.4.5', 'B.5.3', 'B.6.2', 'B.7.3', 'C.1.3', 'C.2.1', 'D.3.4', 'F.1.1', 'F.4.2', 'G.1.3', 'G.1.6', 'G.2.1', 'H.5.2', 'I.2.6', 'I.4.8', 'I.5.1', 'J.5']"
v0_079_indo_german_science__technology_centre_igstc_announces_call_for_grant_applications_for_indo_german_r__d_partnership_on_research_projects_with_industrial_relevance,"['B.4.1', 'C.0', 'C.2.1', 'C.4', 'D.3.4', 'F.3.2', 'G.1.10', 'G.2.1', 'G.2.3', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.1', 'I.5.4', 'I.6.3', 'J.5', 'K.1']"
v0_080_special_call_for_proposals_under_scheduled_castes_sc_and_scheduled_tribes_st_category_under_icps_programme,"['B.4.5', 'B.5.3', 'B.6.2', 'B.7.3', 'C.0', 'F.3.3', 'G.1.10', 'G.2.3', 'H.3.7', 'I.1.4', 'I.2', 'I.2.6', 'I.2.7', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3']"
v0_081_call___indo_norway_joint_research_projects_in_st,"['D.2.1', 'E.5', 'F.1.1', 'G.1.10', 'G.1.3', 'G.1.7', 'G.2.1', 'G.2.3', 'H.2.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.5.5', 'I.6.3', 'I.6.7', 'J.5']"
v0_082_call_for_nomination_workshop_on_design_and_evaluation_of_innovation_policies_with_a_specific_focus_on_scientometrics,"['B.5.1', 'C.0', 'C.1.3', 'C.2.1', 'D.2.10', 'D.2.9', 'G.2.1', 'G.3', 'H.5.2', 'I.2.6', 'I.4.8', 'I.5.1', 'K.4.4']"
v0_083_indo_russian_joint_call_for_proposals_dst_rfbr,"['C.0', 'D.3.3', 'G.1.10', 'G.2.1', 'G.2.3', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.5', 'K.1', 'K.3.2']"
v0_084_call_open_for_11th_batch_of_wos_ckiran_ipr,"['B.3.2', 'B.4.3', 'C.2.1', 'D.4.6', 'G.1.10', 'G.1.7', 'G.2.3', 'H.5.2', 'I.1.4', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.5', 'K.6.5']"
v0_085_national_grand_challenge_awards_for_designing_user_friendly_smart_solar_cooking_solutions,"['B.4.1', 'B.5.1', 'B.7.2', 'C.0', 'C.5.3', 'D.2.1', 'D.2.10', 'D.3.4', 'G.1.7', 'H.5.2', 'I.2.3', 'I.2.6', 'I.3.5', 'I.4.10', 'I.4.7', 'I.4.8']"
v0_086_india__egypt_call_for_proposal,"['B.5.1', 'C.0', 'C.2.1', 'D.3.3', 'E.5', 'F.2.1', 'F.4.2', 'G.1.10', 'G.2.1', 'G.2.3', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.5', 'J.7', 'K.4.1']"
v0_087_swarnajayanti_fellowships_scheme_2018_19,"['C.1.3', 'D.2.7', 'F.2.1', 'G.1.10', 'G.2.3', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.1', 'I.5.4', 'I.5.5', 'I.6.3', 'J.2', 'J.5', 'K.1']"
v0_088_dst_overseas_visiting_fellowship_admissions,"['C.2.1', 'E.5', 'G.1.10', 'G.2.3', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.5']"
v0_089_sustainable__innovative_technologies_in_agricultureagro_tech_under_the_scheme_technology_development_programme,"['B.4.1', 'D.2.9', 'D.3.4', 'F.4.2', 'G.1.6', 'G.2.1', 'I.2.6', 'I.4.8', 'J.5', 'K.1']"
v0_090_scheme_for_young_scientists_and_technologists,"['A.0', 'B.0', 'B.1.0', 'B.2.0', 'B.3.0', 'B.4.0', 'B.5.0', 'B.6.0', 'B.7.0', 'C.0', 'C.1.0', 'C.2.0', 'C.5.0', 'D.0', 'D.1.0', 'D.2.0', 'D.3.0', 'D.4.0', 'E.0', 'F.0', 'F.1.0', 'F.2.0', 'F.3.0', 'F.4.0', 'G.0', 'G.1.0', 'G.2.0', 'H.0', 'H.1.0', 'H.2.0', 'H.3.0', 'H.4.0', 'H.5.0', 'I.0', 'I.1.0', 'I.2.0', 'I.3.0', 'I.4.0', 'I.5.0', 'I.6.0', 'I.7.0', 'J.0', 'K.0', 'K.3.0', 'K.4.0', 'K.5.0', 'K.6.0', 'K.7.0', 'K.8.0']"
v0_091_chord_nstmis_scheme_call_for_proposals_2018_19,"['C.1.3', 'C.2.6', 'E.1', 'F.1.1', 'F.3.3', 'F.4.2', 'G.1.3', 'G.2.1', 'G.2.2', 'H', 'H.3.7', 'I.2.6', 'I.4.8', 'I.5.1', 'I.5.5', 'J.5', 'K.4.1']"
v0_092_call_for_proposals_under_dst_ic_impact_indo_canada_joint_research_programmes,"['B.4.5', 'B.5.1', 'B.5.3', 'B.6.2', 'B.7.1', 'B.7.3', 'C.0', 'C.1.3', 'C.2.1', 'C.3', 'D.2.10', 'D.2.7', 'D.3.4', 'D.4.6', 'F.2.1', 'G.1.3', 'G.1.6', 'H.2.2', 'H.3.4', 'H.3.7', 'H.5.4', 'I.2.10', 'I.4.3', 'I.5.1', 'I.5.5', 'I.6.7', 'J.5', 'K.1', 'K.6.5']"
v0_093_2019_brics_calls_for_proposals_for_multilateral_rd_projects,"['F.1.1', 'F.4.2', 'G.1.10', 'G.1.3', 'G.2.1', 'G.2.3', 'H.1.1', 'H.3.4', 'H.5.1', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.1', 'J.5', 'K.1', 'K.4.1']"
v0_094_global_cooling_prize,"['C.0', 'D.4.1', 'D.4.6', 'E.3', 'G.1.10', 'G.1.3', 'G.1.6', 'G.1.7', 'G.2.3', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.5', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.5.5', 'I.6.3', 'I.6.7', 'K.6.5']"
v0_095_wti_call_2019_research_technology_innovation_on_nexus_of_water_with_energy_food_and_health,"['B.4.1', 'C.1.3', 'D.2.1', 'D.3.4', 'E.3', 'E.5', 'F.3.3', 'F.4.2', 'G.1.10', 'G.1.7', 'G.2.1', 'G.2.3', 'H.3.4', 'H.3.7', 'H.5.4', 'I.1.4', 'I.2.1', 'I.3.5', 'I.3.8', 'I.4.9', 'I.5.1', 'I.5.4', 'I.6.3', 'J.1', 'K.1']"
v0_096_ukieri_dst_partnership_development_workshops,"['C.2.5', 'F.4.2', 'G.1.10', 'G.2.1', 'G.2.3', 'H.2.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.1', 'K.1']"
v0_097_call_for_joint_project_proposals_2019___india_czech_bilateral_scientific_and_technological_cooperation,"['B.5.1', 'C.0', 'C.2.1', 'D.2.1', 'F.2.1', 'F.4.2', 'G.1.3', 'G.2.1', 'I.2.6', 'I.4.8', 'J.5', 'K.4.1']"
v0_098_call_for_india_ethiopia_innovation__technology_commercialization_programme_ieitcp,"['B.4.1', 'D.2.1', 'D.3.4', 'F.4.2', 'G.1.10', 'G.2.3', 'H.5.2', 'I.1.4', 'I.2.5', 'I.2.6', 'I.3.7', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.5.5', 'I.6.3', 'I.6.7', 'I.6.8', 'J.5']"
v0_099_call_for_proposal_of_nidhi_prayas_program,"['A.0', 'B.0', 'B.1.0', 'B.2.0', 'B.3.0', 'B.4.0', 'B.5.0', 'B.6.0', 'B.7.0', 'C.0', 'C.1.0', 'C.2.0', 'C.5.0', 'D.0', 'D.1.0', 'D.2.0', 'D.3.0', 'D.4.0', 'E.0', 'F.0', 'F.1.0', 'F.2.0', 'F.3.0', 'F.4.0', 'G.0', 'G.1.0', 'G.2.0', 'H.0', 'H.1.0', 'H.2.0', 'H.3.0', 'H.4.0', 'H.5.0', 'I.0', 'I.1.0', 'I.2.0', 'I.3.0', 'I.4.0', 'I.5.0', 'I.6.0', 'I.7.0', 'J.0', 'K.0', 'K.3.0', 'K.4.0', 'K.5.0', 'K.6.0', 'K.7.0', 'K.8.0']"
v0_100_indo__poland_joint_research_programme_call_for_proposals_2019,"['G.1.10', 'G.2.1', 'G.2.3', 'H.5.2', 'I.1.4', 'I.2.6', 'I.3.8', 'I.4.8', 'I.4.9', 'I.5.4', 'I.6.3', 'J.5']"
