,nsf_proposal_links_v1,skill,code,terms,preprocessed_terms
16,https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,machine learning,['I.2.7'],"['Natural Language Processing', ' Discourse', ' Language generation', ' Language models', ' Language parsing and understanding', ' Machine translation', ' Speech recognition and synthesis', ' Text analysis']","['natural language processing', 'discourse', 'language generation', 'language model', 'language parsing understanding', 'machine translation', 'speech recognition synthesis', 'text analysis']"
17,https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,ai,"['C.2.1', 'C.2.5']","['Network Architecture and Design', ' Asynchronous Transfer Mode (ATM) (NEW)', ' Centralized networks**', ' Circuit-switching networks', ' Distributed networks', ' Frame relay networks (NEW)', ' ISDN (Integrated Services Digital Network)', ' Network communications', ' Network topology', ' Packet-switching networks (REVISED)', ' Store and forward networks', ' Wireless communication (NEW)', 'Local and Wide-Area Networks (REVISED)', ' Access schemes', ' Buses']","['network architecture design', 'asynchronous transfer mode atm new', 'centralized network', 'circuitswitching network', 'distributed network', 'frame relay network new', 'isdn integrated service digital network', 'network communication', 'network topology', 'packetswitching network revised', 'store forward network', 'wireless communication new', 'local widearea network revised', 'access scheme', 'bus']"
18,https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,economic impact,"['K.6.0', 'J.4']","['General', ' Economics', 'SOCIAL AND BEHAVIORAL SCIENCES', ' Economics', ' Psychology', ' Sociology']","['general', 'economics', 'social behavioral science', 'economics', 'psychology', 'sociology']"
19,https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,industry,['J.7'],"['COMPUTERS IN OTHER SYSTEMS (C.3)', ' Command and control', ' Consumer products', ' Industrial control', ' Military', ' Process control', ' Publishing', ' Real time']","['computer system', 'command control', 'consumer product', 'industrial control', 'military', 'process control', 'publishing', 'real time']"
20,https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,artificial intelligence,['I.2'],['ARTIFICIAL INTELLIGENCE'],['artificial intelligence']
21,https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,learning,['I.2.6'],"['Learning (K.3.2)', ' Analogies', ' Concept learning', ' Connectionism and neural nets', ' Induction', ' Knowledge acquisition', ' Language acquisition', ' Parameter learning']","['learning', 'analogy', 'concept learning', 'connectionism neural net', 'induction', 'knowledge acquisition', 'language acquisition', 'parameter learning']"
22,https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,development,['F.4.2'],"['Grammars and Other Rewriting Systems (D.3.1)', ' Decision problems', ' Grammar types (e.g., context-free, context-sensitive)', ' Parallel rewriting systems (e.g., developmental systems, L-systems)', ' Parsing', ' Thue systems']","['grammar rewriting system', 'decision problem', 'grammar type eg contextfree contextsensitive', 'parallel rewriting system eg developmental system lsystems', 'parsing', 'thue system']"
23,https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,computer information,['K.1'],"['THE COMPUTER INDUSTRY', ' Markets', ' Standards', ' Statistics', ' Suppliers']","['computer industry', 'market', 'standard', 'statistic', 'supplier']"
24,https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,information science,['H'],[],[]
25,https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,communication,['D.4.4'],"['Communications Management (C.2)', ' Buffering', ' Input/output', ' Message sending', ' Network communication', ' Terminal management**']","['communication management', 'buffering', 'inputoutput', 'message sending', 'network communication', 'terminal management']"
26,https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,science engineering,['H.2.8'],"['Database Applications', ' Data mining (NEW)', ' Image databases (NEW)', ' Scientific databases (NEW)', ' Spatial databases and GIS (NEW)', ' Statistical databases (NEW)']","['database application', 'data mining new', 'image database new', 'scientific database new', 'spatial database gi new', 'statistical database new']"
27,https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,project develop,['K.6.1'],"['Project and People Management', ' Life cycle', ' Management techniques (e.g., PERT/CPM)', ' Staffing', ' Strategic information systems planning (NEW)', ' Systems analysis and design', ' Systems development', ' Training']","['project people management', 'life cycle', 'management technique eg pertcpm', 'staffing', 'strategic information system planning new', 'system analysis design', 'system development', 'training']"
28,https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,engineering,['J.2'],"['PHYSICAL SCIENCES AND ENGINEERING', ' Aerospace', ' Archaeology (NEW)', ' Astronomy', ' Chemistry', ' Earth and atmospheric sciences', ' Electronics', ' Engineering', ' Mathematics and statistics', ' Physics']","['physical science engineering', 'aerospace', 'archaeology new', 'astronomy', 'chemistry', 'earth atmospheric science', 'electronics', 'engineering', 'mathematics statistic', 'physic']"
29,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,material,['G.1.3'],"['Numerical Linear Algebra', ' Conditioning', ' Determinants**', ' Eigenvalues and eigenvectors (direct and iterative methods) (REVISED)', ' Error analysis', ' Linear systems (direct and iterative methods)', ' Matrix inversion', ' Pseudoinverses**', ' Singular value decomposition (NEW)', ' Sparse, structured, and very large systems (direct and iterative methods) (REVISED)']","['numerical linear algebra', 'conditioning', 'determinant', 'eigenvalue eigenvectors direct iterative method revised', 'error analysis', 'linear system direct iterative method', 'matrix inversion', 'pseudoinverses', 'singular value decomposition new', 'sparse structured large system direct iterative method revised']"
30,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,discovery,['I.2.7'],"['Natural Language Processing', ' Discourse', ' Language generation', ' Language models', ' Language parsing and understanding', ' Machine translation', ' Speech recognition and synthesis', ' Text analysis']","['natural language processing', 'discourse', 'language generation', 'language model', 'language parsing understanding', 'machine translation', 'speech recognition synthesis', 'text analysis']"
