,nsf_proposal_links_v1,skills
0,https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"{'material', 'higher education', 'science engineering', 'industry', 'development', 'professional development', 'economic development', 'engineering'}"
1,https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"{'science engineering', 'chemical', 'environmental engineering', 'engineering'}"
2,https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"{'theoretical foundation', 'computer science'}"
3,https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"{'continued advancement', 'security', 'machine learning', 'ai', 'economic impact', 'industry', 'artificial intelligence', 'learning', 'development'}"
4,https://www.nsf.gov/pubs/2020/nsf20591/nsf20591.htm,"{'computer information', 'information science', 'communication', 'science engineering', 'project develop', 'engineering'}"
5,https://www.nsf.gov/pubs/2020/nsf20589/nsf20589.htm,"{'material', 'discovery', 'design synthesis', 'material unique', 'property', 'biomaterials', 'fundamental understanding', 'lead new', 'engineering', 'physic', 'industry', 'science foundation', 'novel design', 'synthesis characterization', 'processing', 'control', 'development', 'national science', 'polymer', 'united state', 'synthesis'}"
6,https://www.nsf.gov/pubs/2020/nsf20588/nsf20588.htm,"{'material', 'discovery', 'design synthesis', 'material unique', 'solid state', 'property', 'fundamental understanding', 'electronic photonic', 'lead new', 'engineering', 'industry', 'novel design', 'synthesis characterization', 'processing', 'control', 'development', 'chemistry', 'united state', 'synthesis'}"
7,https://www.nsf.gov/pubs/2020/nsf20586/nsf20586.htm,"{'chemical', 'chemistry'}"
8,https://www.nsf.gov/pubs/2020/nsf20584/nsf20584.htm,"{'area', 'science technology', 'material', 'computer science', 'directorate engineering', 'experience new', 'science engineering', 'information science', 'industry', 'science foundation', 'computer information', 'national science', 'revolve around', 'engineering'}"
9,https://www.nsf.gov/pubs/2020/nsf20582/nsf20582.htm,"{'material system', 'modeling', 'method used', 'electronic photonic', 'material soft', 'science foundation', 'chemistry', 'material state', 'machine learning', 'broad spectrum', 'national science', 'area', 'material', 'molecular dynamic', 'solid state', 'dynamic', 'physic', 'polymer', 'property', 'biomaterials', 'fundamental understanding', 'statistical mechanic', 'polymeric material', 'learning', 'soft matter', 'development', 'soft material'}"
