,researcher,skill,code,terms,preprocessed_terms
0,"Agostinelli, Forest",deep learning,['E.3'],"['DATA ENCRYPTION', ' Code breaking (NEW)', ' Data encryption standard (DES)**', ' Public key cryptosystems', ' Standards (e.g., DES, PGP, RSA) (NEW)']","['data encryption', 'code breaking new', 'data encryption standard de', 'public key cryptosystems', 'standard eg de pgp rsa new']"
1,"Agostinelli, Forest",search,['F.2.2'],"['Nonnumerical Algorithms and Problems (E.2-5, G.2, H.2-3)', ' Complexity of proof procedures', ' Computations on discrete structures', ' Geometrical problems and computations', ' Pattern matching', ' Routing and layout', ' Sequencing and scheduling', ' Sorting and searching']","['nonnumerical algorithm problem', 'complexity proof procedure', 'computation discrete structure', 'geometrical problem computation', 'pattern matching', 'routing layout', 'sequencing scheduling', 'sorting searching']"
2,"Agostinelli, Forest",bioinformatics,['A.0'],"['GENERAL', ' Biographies/autobiographies', ' Conference proceedings', ' General literary works (e.g., fiction, plays)']","['general', 'biographiesautobiographies', 'conference proceeding', 'general literary work eg fiction play']"
3,"Agostinelli, Forest",reinforcement learning,['E.1'],"['DATA STRUCTURES', ' Arrays', ' Distributed data structures (NEW)', ' Graphs and networks (REVISED)', ' Lists, stacks, and queues (REVISED)', ' Records (NEW)', ' Tables**', ' Trees']","['data structure', 'array', 'distributed data structure new', 'graph network revised', 'list stack queue revised', 'record new', 'table', 'tree']"
4,"Agostinelli, Forest",artificial intelligence,['I.2'],['ARTIFICIAL INTELLIGENCE'],['artificial intelligence']
5,"Ahmad, Iftikhar",growth study,['H.4.1'],"['Office Automation (I.7)', ' Desktop publishing (NEW)', ' Equipment**', ' Groupware (NEW)', ' Spreadsheets', ' Time management (e.g., calendars, schedules)', ' Word processing', ' Workflow management (NEW)']","['office automation', 'desktop publishing new', 'equipment', 'groupware new', 'spreadsheet', 'time management eg calendar schedule', 'word processing', 'workflow management new']"
6,"Ahmad, Iftikhar",electronic technology,['H.4.3'],"['Communications Applications', ' Bulletin boards', ' Computer conferencing, teleconferencing, and videoconferencing (REVISED)', ' Electronic mail', ' Information browsers (NEW)', ' Videotex']","['communication application', 'bulletin board', 'computer conferencing teleconferencing videoconferencing revised', 'electronic mail', 'information browser new', 'videotex']"
7,"Ahmad, Iftikhar",position senior,['D.2.7'],"['Distribution, Maintenance, and Enhancement (REVISED)', ' Corrections**', ' Documentation', ' Enhancement**', ' Extensibility**', ' Portability', ' Restructuring, reverse engineering, and reengineering (REVISED)', ' Version control']","['distribution maintenance enhancement revised', 'correction', 'documentation', 'enhancement', 'extensibility', 'portability', 'restructuring reverse engineering reengineering revised', 'version control']"
8,"Ahmad, Iftikhar",aluminum content,"['I.1.2', 'I.5.3']","['Algorithms (F.2.1-2)', ' Algebraic algorithms', ' Analysis of algorithms', ' Nonalgebraic algorithms', 'Clustering', ' Algorithms', ' Similarity measures']","['algorithm', 'algebraic algorithm', 'analysis algorithm', 'nonalgebraic algorithm', 'clustering', 'algorithm', 'similarity measure']"
9,"Ahmad, Iftikhar",wide bandgap,['D.4.9'],"['Systems Programs and Utilities', ' Command and control languages', ' Linkers**', ' Loaders**', ' Window managers']","['system program utility', 'command control language', 'linkers', 'loader', 'window manager']"
10,"Ahmad, Iftikhar",high aluminum,['C.2.5'],"['Local and Wide-Area Networks (REVISED)', ' Access schemes', ' Buses']","['local widearea network revised', 'access scheme', 'bus']"
11,"Ahmad, Iftikhar",texas tech,"['I.4.7', 'I.3.7', 'I.2.10']","['Feature Measurement', ' Feature representation (NEW)', ' Invariants', ' Moments', ' Projections', ' Size and shape', ' Texture', 'Three-Dimensional Graphics and Realism', ' Animation', ' Color, shading, shadowing, and texture', ' Fractals', ' Hidden line/surface removal', ' Radiosity', ' Raytracing', ' Virtual reality', ' Visible line/surface algorithms', 'Vision and Scene Understanding (I.4.8, I.5)', ' 3D/stereo scene analysis (NEW)', ' Architecture and control structures**', ' Intensity, color, photometry, and thresholding', ' Modeling and recovery of physical attributes', ' Motion', ' Perceptual reasoning', ' Representations, data structures, and transforms', ' Shape', ' Texture', ' Video analysis (NEW)']","['feature measurement', 'feature representation new', 'invariant', 'moment', 'projection', 'size shape', 'texture', 'threedimensional graphic realism', 'animation', 'color shading shadowing texture', 'fractal', 'hidden linesurface removal', 'radiosity', 'raytracing', 'virtual reality', 'visible linesurface algorithm', 'vision scene understanding', 'scene analysis new', 'architecture control structure', 'intensity color photometry thresholding', 'modeling recovery physical attribute', 'motion', 'perceptual reasoning', 'representation data structure transforms', 'shape', 'texture', 'video analysis new']"
12,"Ahmad, Iftikhar",inc ph,['D.3.4'],"['Processors', ' Code generation', ' Compilers', ' Debuggers (NEW)', ' Incremental compilers (NEW)', ' Interpreters', ' Memory management (garbage collection) (NEW)', ' Optimization', ' Parsing', ' Preprocessors', ' Retargetable compilers (NEW)', ' Run-time environments', ' Translator writing systems and compiler generators']","['processor', 'code generation', 'compiler', 'debugger new', 'incremental compiler new', 'interpreter', 'memory management garbage collection new', 'optimization', 'parsing', 'preprocessors', 'retargetable compiler new', 'runtime environment', 'translator writing system compiler generator']"
13,"Ahmad, Iftikhar",content algan,['H.3.1'],"['Content Analysis and Indexing', ' Abstracting methods', ' Dictionaries', ' Indexing methods', ' Linguistic processing', ' Thesauruses']","['content analysis indexing', 'abstracting method', 'dictionary', 'indexing method', 'linguistic processing', 'thesaurus']"
14,"Ahmad, Iftikhar",inc ph texas tech universityresearch growth study ultra wide bandgap semiconductor including high aluminum content algan,['D.3.4'],"['Processors', ' Code generation', ' Compilers', ' Debuggers (NEW)', ' Incremental compilers (NEW)', ' Interpreters', ' Memory management (garbage collection) (NEW)', ' Optimization', ' Parsing', ' Preprocessors', ' Retargetable compilers (NEW)', ' Run-time environments', ' Translator writing systems and compiler generators']","['processor', 'code generation', 'compiler', 'debugger new', 'incremental compiler new', 'interpreter', 'memory management garbage collection new', 'optimization', 'parsing', 'preprocessors', 'retargetable compiler new', 'runtime environment', 'translator writing system compiler generator']"
15,"Ahmad, Iftikhar",novel high,['H.2.1'],"['Logical Design', ' Data models', ' Normal forms', ' Schema and subschema']","['logical design', 'data model', 'normal form', 'schema subschema']"
16,"Ahmad, Iftikhar",tech universityresearch,"['B.2.3', 'B.4.5', 'B.3.4']","['Reliability, Testing, and Fault-Tolerance** (B.8)', ' Diagnostics**', ' Error-checking**', ' Redundant design**', ' Test generation**', 'Reliability, Testing, and Fault-Tolerance** (B.8)', ' Built-in tests**', ' Diagnostics**', ' Error-checking**', ' Hardware reliability**', ' Redundant design**', ' Test generation**', 'Reliability, Testing, and Fault-Tolerance** (B.8)', ' Diagnostics**', ' Error-checking**', ' Redundant design**', ' Test generation**']","['reliability testing faulttolerance', 'diagnostics', 'errorchecking', 'redundant design', 'test generation', 'reliability testing faulttolerance', 'builtin test', 'diagnostics', 'errorchecking', 'hardware reliability', 'redundant design', 'test generation', 'reliability testing faulttolerance', 'diagnostics', 'errorchecking', 'redundant design', 'test generation']"
17,"Ahmad, Iftikhar",boron nitride gallium oxide,['F.1.1'],"['Models of Computation (F.4.1)', ' Automata (e.g., finite, push-down, resource-bounded)', ' Bounded-action devices (e.g., Turing machines, random access machines)', ' Computability theory', ' Relations between models', ' Self-modifying machines (e.g., neural networks)', ' Unbounded-action devices (e.g., cellular automata, circuits, networks of machines)']","['model computation', 'automaton eg finite pushdown resourcebounded', 'boundedaction device eg turing machine random access machine', 'computability theory', 'relation model', 'selfmodifying machine eg neural network', 'unboundedaction device eg cellular automaton circuit network machine']"
18,"Ahmad, Iftikhar",bandgap semiconductor,['B.4.3'],"['Interconnections (Subsystems)', ' Asynchronous/synchronous operation', ' Fiber optics', ' Interfaces', ' Parallel I/O (NEW)', ' Physical structures (e.g., backplanes, cables, chip carriers)**', ' Topology (e.g., bus, point-to-point)']","['interconnection subsystem', 'asynchronoussynchronous operation', 'fiber optic', 'interface', 'parallel io new', 'physical structure eg backplanes cable chip carrier', 'topology eg bus pointtopoint']"
19,"Ahmad, Iftikhar",high power,['C.2.5'],"['Local and Wide-Area Networks (REVISED)', ' Access schemes', ' Buses']","['local widearea network revised', 'access scheme', 'bus']"
20,"Ahmad, Iftikhar",electronic photonic,['I.7.4'],"['Electronic Publishing (H.5.4, J.7) (NEW)']",['electronic publishing new']
21,"Ahmad, Iftikhar",previous position senior scientist,['D.3.4'],"['Processors', ' Code generation', ' Compilers', ' Debuggers (NEW)', ' Incremental compilers (NEW)', ' Interpreters', ' Memory management (garbage collection) (NEW)', ' Optimization', ' Parsing', ' Preprocessors', ' Retargetable compilers (NEW)', ' Run-time environments', ' Translator writing systems and compiler generators']","['processor', 'code generation', 'compiler', 'debugger new', 'incremental compiler new', 'interpreter', 'memory management garbage collection new', 'optimization', 'parsing', 'preprocessors', 'retargetable compiler new', 'runtime environment', 'translator writing system compiler generator']"
22,"Ahmad, Iftikhar",including high,['G.3'],"['PROBABILITY AND STATISTICS', ' Contingency table analysis (NEW)', ' Correlation and regression analysis (NEW)', ' Distribution functions (NEW)', ' Experimental design (NEW)', ' Markov processes (NEW)', ' Multivariate statistics (NEW)', ' Nonparametric statistics (NEW)', ' Probabilistic algorithms (including Monte Carlo)', ' Queueing theory (NEW)', ' Random number generation', ' Reliability and life testing (NEW)', ' Renewal theory (NEW)', ' Robust regression (NEW)', ' Statistical computing', ' Statistical software', ' Stochastic processes (NEW)', ' Survival analysis (NEW)', ' Time series analysis (NEW)']","['probability statistic', 'contingency table analysis new', 'correlation regression analysis new', 'distribution function new', 'experimental design new', 'markov process new', 'multivariate statistic new', 'nonparametric statistic new', 'probabilistic algorithm including monte carlo', 'queueing theory new', 'random number generation', 'reliability life testing new', 'renewal theory new', 'robust regression new', 'statistical computing', 'statistical software', 'stochastic process new', 'survival analysis new', 'time series analysis new']"
23,"Ahmad, Iftikhar",photonic device,"['I.4.8', 'I.2.10']","['Scene Analysis', ' Color (NEW)', ' Depth cues', ' Motion (NEW)', ' Object recognition (NEW)', ' Photometry', ' Range data', ' Sensor fusion', ' Shading (NEW)', ' Shape (NEW)', ' Stereo', ' Surface fitting (NEW)', ' Time-varying imagery', ' Tracking (NEW)', 'Vision and Scene Understanding (I.4.8, I.5)', ' 3D/stereo scene analysis (NEW)', ' Architecture and control structures**', ' Intensity, color, photometry, and thresholding', ' Modeling and recovery of physical attributes', ' Motion', ' Perceptual reasoning', ' Representations, data structures, and transforms', ' Shape', ' Texture', ' Video analysis (NEW)']","['scene analysis', 'color new', 'depth cue', 'motion new', 'object recognition new', 'photometry', 'range data', 'sensor fusion', 'shading new', 'shape new', 'stereo', 'surface fitting new', 'timevarying imagery', 'tracking new', 'vision scene understanding', 'scene analysis new', 'architecture control structure', 'intensity color photometry thresholding', 'modeling recovery physical attribute', 'motion', 'perceptual reasoning', 'representation data structure transforms', 'shape', 'texture', 'video analysis new']"
24,"Ahmad, Iftikhar",fabrication novel high power electronic photonic device,['F.2.1'],"['Numerical Algorithms and Problems (G.1, G.4, I.1)', ' Computation of transforms (e.g., fast Fourier transform)', ' Computations in finite fields', ' Computations on matrices', ' Computations on polynomials', ' Number-theoretic computations (e.g., factoring, primality testing)']","['numerical algorithm problem', 'computation transforms eg fast fourier transform', 'computation finite field', 'computation matrix', 'computation polynomial', 'numbertheoretic computation eg factoring primality testing']"
25,"Ahmad, Iftikhar",study ultra,['F.3.3'],"['Studies of Program Constructs (D.3.2-3)', ' Control primitives', ' Functional constructs', ' Object-oriented constructs (NEW)', ' Program and recursion schemes', ' Type structure']","['study program construct', 'control primitive', 'functional construct', 'objectoriented construct new', 'program recursion scheme', 'type structure']"
26,"Ahmad, Iftikhar",ultra wide,['H.5.2'],"['User Interfaces (D.2.2, H.1.2, I.3.6)', ' Auditory (non-speech) feedback (NEW)', ' Benchmarking (NEW)', ' Ergonomics', ' Evaluation/methodology', ' Graphical user interfaces (GUI) (NEW)', ' Haptic I/O (NEW)', ' Input devices and strategies (e.g., mouse, touchscreen)', ' Interaction styles (e.g., commands, menus, forms, direct manipulation)', ' Natural language (NEW)', ' Prototyping (NEW)', ' Screen design (e.g., text, graphics, color)', ' Standardization (NEW)', ' Style guides (NEW)', ' Theory and methods', ' Training, help, and documentation', ' User-centered design (NEW)', ' User interface management systems (UIMS)', ' Voice I/O (NEW)', ' Windowing systems']","['user interface', 'auditory nonspeech feedback new', 'benchmarking new', 'ergonomics', 'evaluationmethodology', 'graphical user interface gui new', 'haptic io new', 'input device strategy eg mouse touchscreen', 'interaction style eg command menu form direct manipulation', 'natural language new', 'prototyping new', 'screen design eg text graphic color', 'standardization new', 'style guide new', 'theory method', 'training help documentation', 'usercentered design new', 'user interface management system uims', 'voice io new', 'windowing system']"
27,"Ahmad, Iftikhar",fabrication novel,['F.2.1'],"['Numerical Algorithms and Problems (G.1, G.4, I.1)', ' Computation of transforms (e.g., fast Fourier transform)', ' Computations in finite fields', ' Computations on matrices', ' Computations on polynomials', ' Number-theoretic computations (e.g., factoring, primality testing)']","['numerical algorithm problem', 'computation transforms eg fast fourier transform', 'computation finite field', 'computation matrix', 'computation polynomial', 'numbertheoretic computation eg factoring primality testing']"
28,"Ahmad, Iftikhar",ph texas,['J.2'],"['PHYSICAL SCIENCES AND ENGINEERING', ' Aerospace', ' Archaeology (NEW)', ' Astronomy', ' Chemistry', ' Earth and atmospheric sciences', ' Electronics', ' Engineering', ' Mathematics and statistics', ' Physics']","['physical science engineering', 'aerospace', 'archaeology new', 'astronomy', 'chemistry', 'earth atmospheric science', 'electronics', 'engineering', 'mathematics statistic', 'physic']"
29,"Ahmad, Iftikhar",computer simulation device,['K.6.2'],"['Installation Management', ' Benchmarks', ' Computer selection', ' Computing equipment management', ' Performance and usage measurement', ' Pricing and resource allocation']","['installation management', 'benchmark', 'computer selection', 'computing equipment management', 'performance usage measurement', 'pricing resource allocation']"
30,"Ahmad, Iftikhar",nitride gallium,['H.5.4'],"['Hypertext/Hypermedia (I.7, J.7) (NEW)', ' Architectures (NEW)', ' Navigation (NEW)', ' Theory (NEW)', ' User issues (NEW)']","['hypertexthypermedia new', 'architecture new', 'navigation new', 'theory new', 'user issue new']"
31,"Ahmad, Iftikhar",universityresearch growth,['I.2.3'],"['Deduction and Theorem Proving (F.4.1)', ' Answer/reason extraction', ' Deduction (e.g., natural, rule-based)', ' Inference engines (NEW)', ' Logic programming', ' Mathematical induction', ' Metatheory**', ' Nonmonotonic reasoning and belief revision', ' Resolution', "" Uncertainty, ``fuzzy,'' and probabilistic reasoning""]","['deduction theorem proving', 'answerreason extraction', 'deduction eg natural rulebased', 'inference engine new', 'logic programming', 'mathematical induction', 'metatheory', 'nonmonotonic reasoning belief revision', 'resolution', 'uncertainty fuzzy probabilistic reasoning']"
32,"Ahmad, Iftikhar",previous position,['D.3.4'],"['Processors', ' Code generation', ' Compilers', ' Debuggers (NEW)', ' Incremental compilers (NEW)', ' Interpreters', ' Memory management (garbage collection) (NEW)', ' Optimization', ' Parsing', ' Preprocessors', ' Retargetable compilers (NEW)', ' Run-time environments', ' Translator writing systems and compiler generators']","['processor', 'code generation', 'compiler', 'debugger new', 'incremental compiler new', 'interpreter', 'memory management garbage collection new', 'optimization', 'parsing', 'preprocessors', 'retargetable compiler new', 'runtime environment', 'translator writing system compiler generator']"
33,"Ahmad, Iftikhar",boron nitride,['F.1.1'],"['Models of Computation (F.4.1)', ' Automata (e.g., finite, push-down, resource-bounded)', ' Bounded-action devices (e.g., Turing machines, random access machines)', ' Computability theory', ' Relations between models', ' Self-modifying machines (e.g., neural networks)', ' Unbounded-action devices (e.g., cellular automata, circuits, networks of machines)']","['model computation', 'automaton eg finite pushdown resourcebounded', 'boundedaction device eg turing machine random access machine', 'computability theory', 'relation model', 'selfmodifying machine eg neural network', 'unboundedaction device eg cellular automaton circuit network machine']"
34,"Ahmad, Iftikhar",simulation device,['I.6.1'],"['Simulation Theory', ' Model classification', ' Systems theory', ' Types of simulation (continuous and discrete)*']","['simulation theory', 'model classification', 'system theory', 'type simulation continuous discrete']"
35,"Ahmad, Iftikhar",gallium oxide,"['K.8.0', 'K.8', 'I.2.1']","['General', ' Games', 'PERSONAL COMPUTING', ' Games*', 'Applications and Expert Systems (H.4, J)', ' Cartography', ' Games', ' Industrial automation', ' Law', ' Medicine and science', ' Natural language interfaces', ' Office automation']","['general', 'game', 'personal computing', 'game', 'application expert system', 'cartography', 'game', 'industrial automation', 'law', 'medicine science', 'natural language interface', 'office automation']"
36,"Ahmad, Iftikhar",power electronic,['D.2.7'],"['Distribution, Maintenance, and Enhancement (REVISED)', ' Corrections**', ' Documentation', ' Enhancement**', ' Extensibility**', ' Portability', ' Restructuring, reverse engineering, and reengineering (REVISED)', ' Version control']","['distribution maintenance enhancement revised', 'correction', 'documentation', 'enhancement', 'extensibility', 'portability', 'restructuring reverse engineering reengineering revised', 'version control']"
37,"Ahmad, Iftikhar",senior scientist,['I.2.9'],"['Robotics', ' Autonomous vehicles (NEW)', ' Commercial robots and applications (NEW)', ' Kinematics and dynamics (NEW)', ' Manipulators', ' Operator interfaces (NEW)', ' Propelling mechanisms', ' Sensors', ' Workcell organization and planning (NEW)']","['robotics', 'autonomous vehicle new', 'commercial robot application new', 'kinematics dynamic new', 'manipulator', 'operator interface new', 'propelling mechanism', 'sensor', 'workcell organization planning new']"
38,"Ahmad, Iftikhar",computer simulation,['K.6.2'],"['Installation Management', ' Benchmarks', ' Computer selection', ' Computing equipment management', ' Performance and usage measurement', ' Pricing and resource allocation']","['installation management', 'benchmark', 'computer selection', 'computing equipment management', 'performance usage measurement', 'pricing resource allocation']"
39,"Ahmad, Iftikhar",sensor electronic,['I.4.8'],"['Scene Analysis', ' Color (NEW)', ' Depth cues', ' Motion (NEW)', ' Object recognition (NEW)', ' Photometry', ' Range data', ' Sensor fusion', ' Shading (NEW)', ' Shape (NEW)', ' Stereo', ' Surface fitting (NEW)', ' Time-varying imagery', ' Tracking (NEW)']","['scene analysis', 'color new', 'depth cue', 'motion new', 'object recognition new', 'photometry', 'range data', 'sensor fusion', 'shading new', 'shape new', 'stereo', 'surface fitting new', 'timevarying imagery', 'tracking new']"
40,"Ahmad, Iftikhar",semiconductor including,['B.3.1'],"['Semiconductor Memories (NEW) (B.7.1)', ' Dynamic memory (DRAM) (NEW)', ' Read-only memory (ROM) (NEW)', ' Static memory (SRAM) (NEW)']","['semiconductor memory new', 'dynamic memory dram new', 'readonly memory rom new', 'static memory sram new']"
41,"Ahmad, Iftikhar",sensor electronic technology,['I.4.8'],"['Scene Analysis', ' Color (NEW)', ' Depth cues', ' Motion (NEW)', ' Object recognition (NEW)', ' Photometry', ' Range data', ' Sensor fusion', ' Shading (NEW)', ' Shape (NEW)', ' Stereo', ' Surface fitting (NEW)', ' Time-varying imagery', ' Tracking (NEW)']","['scene analysis', 'color new', 'depth cue', 'motion new', 'object recognition new', 'photometry', 'range data', 'sensor fusion', 'shading new', 'shape new', 'stereo', 'surface fitting new', 'timevarying imagery', 'tracking new']"
42,"Alexeev, Oleg S.",boreskov institute catalysis,['F.1.1'],"['Models of Computation (F.4.1)', ' Automata (e.g., finite, push-down, resource-bounded)', ' Bounded-action devices (e.g., Turing machines, random access machines)', ' Computability theory', ' Relations between models', ' Self-modifying machines (e.g., neural networks)', ' Unbounded-action devices (e.g., cellular automata, circuits, networks of machines)']","['model computation', 'automaton eg finite pushdown resourcebounded', 'boundedaction device eg turing machine random access machine', 'computability theory', 'relation model', 'selfmodifying machine eg neural network', 'unboundedaction device eg cellular automaton circuit network machine']"
43,"Alexeev, Oleg S.",characterization catalytic,['G.1.7'],"['Ordinary Differential Equations', ' Boundary value problems', ' Chaotic systems (NEW)', ' Convergence and stability', ' Differential-algebraic equations (NEW)', ' Error analysis', ' Finite difference methods (NEW)', ' Initial value problems', ' Multistep and multivalue methods (REVISED)', ' One-step (single step) methods (REVISED)', ' Stiff equations']","['ordinary differential equation', 'boundary value problem', 'chaotic system new', 'convergence stability', 'differentialalgebraic equation new', 'error analysis', 'finite difference method new', 'initial value problem', 'multistep multivalue method revised', 'onestep single step method revised', 'stiff equation']"
44,"Alexeev, Oleg S.",structure catalytic,['G.1.3'],"['Numerical Linear Algebra', ' Conditioning', ' Determinants**', ' Eigenvalues and eigenvectors (direct and iterative methods) (REVISED)', ' Error analysis', ' Linear systems (direct and iterative methods)', ' Matrix inversion', ' Pseudoinverses**', ' Singular value decomposition (NEW)', ' Sparse, structured, and very large systems (direct and iterative methods) (REVISED)']","['numerical linear algebra', 'conditioning', 'determinant', 'eigenvalue eigenvectors direct iterative method revised', 'error analysis', 'linear system direct iterative method', 'matrix inversion', 'pseudoinverses', 'singular value decomposition new', 'sparse structured large system direct iterative method revised']"
45,"Alexeev, Oleg S.",technique along,"['B.2.3', 'B.4.5', 'B.3.4']","['Reliability, Testing, and Fault-Tolerance** (B.8)', ' Diagnostics**', ' Error-checking**', ' Redundant design**', ' Test generation**', 'Reliability, Testing, and Fault-Tolerance** (B.8)', ' Built-in tests**', ' Diagnostics**', ' Error-checking**', ' Hardware reliability**', ' Redundant design**', ' Test generation**', 'Reliability, Testing, and Fault-Tolerance** (B.8)', ' Diagnostics**', ' Error-checking**', ' Redundant design**', ' Test generation**']","['reliability testing faulttolerance', 'diagnostics', 'errorchecking', 'redundant design', 'test generation', 'reliability testing faulttolerance', 'builtin test', 'diagnostics', 'errorchecking', 'hardware reliability', 'redundant design', 'test generation', 'reliability testing faulttolerance', 'diagnostics', 'errorchecking', 'redundant design', 'test generation']"
46,"Alexeev, Oleg S.",data used,['H.2.1'],"['Logical Design', ' Data models', ' Normal forms', ' Schema and subschema']","['logical design', 'data model', 'normal form', 'schema subschema']"
47,"Alexeev, Oleg S.",dependence catalytic,['I.4.8'],"['Scene Analysis', ' Color (NEW)', ' Depth cues', ' Motion (NEW)', ' Object recognition (NEW)', ' Photometry', ' Range data', ' Sensor fusion', ' Shading (NEW)', ' Shape (NEW)', ' Stereo', ' Surface fitting (NEW)', ' Time-varying imagery', ' Tracking (NEW)']","['scene analysis', 'color new', 'depth cue', 'motion new', 'object recognition new', 'photometry', 'range data', 'sensor fusion', 'shading new', 'shape new', 'stereo', 'surface fitting new', 'timevarying imagery', 'tracking new']"
48,"Alexeev, Oleg S.",ph,['J.2'],"['PHYSICAL SCIENCES AND ENGINEERING', ' Aerospace', ' Archaeology (NEW)', ' Astronomy', ' Chemistry', ' Earth and atmospheric sciences', ' Electronics', ' Engineering', ' Mathematics and statistics', ' Physics']","['physical science engineering', 'aerospace', 'archaeology new', 'astronomy', 'chemistry', 'earth atmospheric science', 'electronics', 'engineering', 'mathematics statistic', 'physic']"
49,"Alexeev, Oleg S.",catalytic data,['J.6'],"['COMPUTER-AIDED ENGINEERING', ' Computer-aided design (CAD)', ' Computer-aided manufacturing (CAM)']","['computeraided engineering', 'computeraided design cad', 'computeraided manufacturing cam']"
50,"Alexeev, Oleg S.",pursued application,['J.7'],"['COMPUTERS IN OTHER SYSTEMS (C.3)', ' Command and control', ' Consumer products', ' Industrial control', ' Military', ' Process control', ' Publishing', ' Real time']","['computer system', 'command control', 'consumer product', 'industrial control', 'military', 'process control', 'publishing', 'real time']"
51,"Alexeev, Oleg S.",take place,['H.5.1'],"['Multimedia Information Systems', ' Animations', ' Artificial, augmented, and virtual realities (REVISED)', ' Audio input/output', ' Evaluation/methodology', ' Hypertext navigation and maps**', ' Video (e.g., tape, disk, DVI)']","['multimedia information system', 'animation', 'artificial augmented virtual reality revised', 'audio inputoutput', 'evaluationmethodology', 'hypertext navigation map', 'video eg tape disk dvi']"
52,"Alexeev, Oleg S.",influence promoter structure catalytic property supported metal cluster aggregate objective program pursued application combination various experimental method characterization catalytic material spectroscopic technique,['I.2.3'],"['Deduction and Theorem Proving (F.4.1)', ' Answer/reason extraction', ' Deduction (e.g., natural, rule-based)', ' Inference engines (NEW)', ' Logic programming', ' Mathematical induction', ' Metatheory**', ' Nonmonotonic reasoning and belief revision', ' Resolution', "" Uncertainty, ``fuzzy,'' and probabilistic reasoning""]","['deduction theorem proving', 'answerreason extraction', 'deduction eg natural rulebased', 'inference engine new', 'logic programming', 'mathematical induction', 'metatheory', 'nonmonotonic reasoning belief revision', 'resolution', 'uncertainty fuzzy probabilistic reasoning']"
53,"Alexeev, Oleg S.",cluster aggregate,"['H.3.3', 'I.5.3']","['Information Search and Retrieval', ' Clustering', ' Information filtering (NEW)', ' Query formulation', ' Relevance feedback (NEW)', ' Retrieval models', ' Search process', ' Selection process', 'Clustering', ' Algorithms', ' Similarity measures']","['information search retrieval', 'clustering', 'information filtering new', 'query formulation', 'relevance feedback new', 'retrieval model', 'search process', 'selection process', 'clustering', 'algorithm', 'similarity measure']"
54,"Alexeev, Oleg S.",adsorbed reactant,['B.7.1'],"['Types and Design Styles', ' Advanced technologies', ' Algorithms implemented in hardware', ' Gate arrays', ' Input/output circuits', ' Memory technologies', ' Microprocessors and microcomputers', ' Standard cells**', ' VLSI (very large scale integration)']","['type design style', 'advanced technology', 'algorithm implemented hardware', 'gate array', 'inputoutput circuit', 'memory technology', 'microprocessor microcomputer', 'standard cell', 'vlsi large scale integration']"
55,"Alexeev, Oleg S.",used establish,"['H.3.7', 'H.5.4']","['Digital Libraries (NEW)', ' Collection (NEW)', ' Dissemination (NEW)', ' Standards (NEW)', ' Systems issues (NEW)', ' User issues (NEW)', 'Hypertext/Hypermedia (I.7, J.7) (NEW)', ' Architectures (NEW)', ' Navigation (NEW)', ' Theory (NEW)', ' User issues (NEW)']","['digital library new', 'collection new', 'dissemination new', 'standard new', 'system issue new', 'user issue new', 'hypertexthypermedia new', 'architecture new', 'navigation new', 'theory new', 'user issue new']"
56,"Alexeev, Oleg S.",focused fundamental,['H.5.2'],"['User Interfaces (D.2.2, H.1.2, I.3.6)', ' Auditory (non-speech) feedback (NEW)', ' Benchmarking (NEW)', ' Ergonomics', ' Evaluation/methodology', ' Graphical user interfaces (GUI) (NEW)', ' Haptic I/O (NEW)', ' Input devices and strategies (e.g., mouse, touchscreen)', ' Interaction styles (e.g., commands, menus, forms, direct manipulation)', ' Natural language (NEW)', ' Prototyping (NEW)', ' Screen design (e.g., text, graphics, color)', ' Standardization (NEW)', ' Style guides (NEW)', ' Theory and methods', ' Training, help, and documentation', ' User-centered design (NEW)', ' User interface management systems (UIMS)', ' Voice I/O (NEW)', ' Windowing systems']","['user interface', 'auditory nonspeech feedback new', 'benchmarking new', 'ergonomics', 'evaluationmethodology', 'graphical user interface gui new', 'haptic io new', 'input device strategy eg mouse touchscreen', 'interaction style eg command menu form direct manipulation', 'natural language new', 'prototyping new', 'screen design eg text graphic color', 'standardization new', 'style guide new', 'theory method', 'training help documentation', 'usercentered design new', 'user interface management system uims', 'voice io new', 'windowing system']"
57,"Alexeev, Oleg S.",surface take,['I.3.7'],"['Three-Dimensional Graphics and Realism', ' Animation', ' Color, shading, shadowing, and texture', ' Fractals', ' Hidden line/surface removal', ' Radiosity', ' Raytracing', ' Virtual reality', ' Visible line/surface algorithms']","['threedimensional graphic realism', 'animation', 'color shading shadowing texture', 'fractal', 'hidden linesurface removal', 'radiosity', 'raytracing', 'virtual reality', 'visible linesurface algorithm']"
