,researcher,skill,code,terms,preprocessed_terms
3115,"Lessner , Susan M.",elevated risk,['J.2'],"['PHYSICAL SCIENCES AND ENGINEERING', ' Aerospace', ' Archaeology (NEW)', ' Astronomy', ' Chemistry', ' Earth and atmospheric sciences', ' Electronics', ' Engineering', ' Mathematics and statistics', ' Physics']","['physical science engineering', 'aerospace', 'archaeology new', 'astronomy', 'chemistry', 'earth atmospheric science', 'electronics', 'engineering', 'mathematics statistic', 'physic']"
3116,"Lessner , Susan M.",rupture biological,['I.2.3'],"['Deduction and Theorem Proving (F.4.1)', ' Answer/reason extraction', ' Deduction (e.g., natural, rule-based)', ' Inference engines (NEW)', ' Logic programming', ' Mathematical induction', ' Metatheory**', ' Nonmonotonic reasoning and belief revision', ' Resolution', "" Uncertainty, ``fuzzy,'' and probabilistic reasoning""]","['deduction theorem proving', 'answerreason extraction', 'deduction eg natural rulebased', 'inference engine new', 'logic programming', 'mathematical induction', 'metatheory', 'nonmonotonic reasoning belief revision', 'resolution', 'uncertainty fuzzy probabilistic reasoning']"
3117,"Lessner , Susan M.",musc,['J.5'],"['ARTS AND HUMANITIES', ' Architecture (NEW)', ' Arts, fine and performing**', ' Fine arts (NEW)', ' Language translation', ' Linguistics', ' Literature', ' Music**', ' Performing arts (e.g., dance, music) (NEW)']","['art humanity', 'architecture new', 'art fine performing', 'fine art new', 'language translation', 'linguistics', 'literature', 'music', 'performing art eg dance music new']"
3118,"Lessner , Susan M.",leading cause,['I.2.6'],"['Learning (K.3.2)', ' Analogies', ' Concept learning', ' Connectionism and neural nets', ' Induction', ' Knowledge acquisition', ' Language acquisition', ' Parameter learning']","['learning', 'analogy', 'concept learning', 'connectionism neural net', 'induction', 'knowledge acquisition', 'language acquisition', 'parameter learning']"
3119,"Lessner , Susan M.",mechanical failure,['F.3.1'],"['Specifying and Verifying and Reasoning about Programs (D.2.1, D.2.4, D.3.1, E.1)', ' Assertions', ' Invariants', ' Logics of programs', ' Mechanical verification', ' Pre- and post-conditions', ' Specification techniques']","['specifying verifying reasoning program', 'assertion', 'invariant', 'logic program', 'mechanical verification', 'pre postconditions', 'specification technique']"
3120,"Lessner , Susan M.",mechanical loading,['F.3.1'],"['Specifying and Verifying and Reasoning about Programs (D.2.1, D.2.4, D.3.1, E.1)', ' Assertions', ' Invariants', ' Logics of programs', ' Mechanical verification', ' Pre- and post-conditions', ' Specification techniques']","['specifying verifying reasoning program', 'assertion', 'invariant', 'logic program', 'mechanical verification', 'pre postconditions', 'specification technique']"
3121,"Lessner , Susan M.",attack stroke,"['C.2.1', 'C.2.5']","['Network Architecture and Design', ' Asynchronous Transfer Mode (ATM) (NEW)', ' Centralized networks**', ' Circuit-switching networks', ' Distributed networks', ' Frame relay networks (NEW)', ' ISDN (Integrated Services Digital Network)', ' Network communications', ' Network topology', ' Packet-switching networks (REVISED)', ' Store and forward networks', ' Wireless communication (NEW)', 'Local and Wide-Area Networks (REVISED)', ' Access schemes', ' Buses']","['network architecture design', 'asynchronous transfer mode atm new', 'centralized network', 'circuitswitching network', 'distributed network', 'frame relay network new', 'isdn integrated service digital network', 'network communication', 'network topology', 'packetswitching network revised', 'store forward network', 'wireless communication new', 'local widearea network revised', 'access scheme', 'bus']"
3122,"Lessner , Susan M.",mechano sensitive gene expression biomechanics front,['F.3.1'],"['Specifying and Verifying and Reasoning about Programs (D.2.1, D.2.4, D.3.1, E.1)', ' Assertions', ' Invariants', ' Logics of programs', ' Mechanical verification', ' Pre- and post-conditions', ' Specification techniques']","['specifying verifying reasoning program', 'assertion', 'invariant', 'logic program', 'mechanical verification', 'pre postconditions', 'specification technique']"
3123,"Lessner , Susan M.",palmetto health,"['F.4.2', 'D.3.4']","['Grammars and Other Rewriting Systems (D.3.1)', ' Decision problems', ' Grammar types (e.g., context-free, context-sensitive)', ' Parallel rewriting systems (e.g., developmental systems, L-systems)', ' Parsing', ' Thue systems', 'Processors', ' Code generation', ' Compilers', ' Debuggers (NEW)', ' Incremental compilers (NEW)', ' Interpreters', ' Memory management (garbage collection) (NEW)', ' Optimization', ' Parsing', ' Preprocessors', ' Retargetable compilers (NEW)', ' Run-time environments', ' Translator writing systems and compiler generators']","['grammar rewriting system', 'decision problem', 'grammar type eg contextfree contextsensitive', 'parallel rewriting system eg developmental system lsystems', 'parsing', 'thue system', 'processor', 'code generation', 'compiler', 'debugger new', 'incremental compiler new', 'interpreter', 'memory management garbage collection new', 'optimization', 'parsing', 'preprocessors', 'retargetable compiler new', 'runtime environment', 'translator writing system compiler generator']"
3124,"Lessner , Susan M.",understand artery,['I.2.3'],"['Deduction and Theorem Proving (F.4.1)', ' Answer/reason extraction', ' Deduction (e.g., natural, rule-based)', ' Inference engines (NEW)', ' Logic programming', ' Mathematical induction', ' Metatheory**', ' Nonmonotonic reasoning and belief revision', ' Resolution', "" Uncertainty, ``fuzzy,'' and probabilistic reasoning""]","['deduction theorem proving', 'answerreason extraction', 'deduction eg natural rulebased', 'inference engine new', 'logic programming', 'mathematical induction', 'metatheory', 'nonmonotonic reasoning belief revision', 'resolution', 'uncertainty fuzzy probabilistic reasoning']"
3125,"Lessner , Susan M.",sc lessner,['H.2.1'],"['Logical Design', ' Data models', ' Normal forms', ' Schema and subschema']","['logical design', 'data model', 'normal form', 'schema subschema']"
3126,"Lessner , Susan M.",particularly interested,['F.3.2'],"['Semantics of Programming Languages (D.3.1)', ' Algebraic approaches to semantics', ' Denotational semantics', ' Operational semantics', ' Partial evaluation (NEW)', ' Process models (NEW)', ' Program analysis (NEW)']","['semantics programming language', 'algebraic approach semantics', 'denotational semantics', 'operational semantics', 'partial evaluation new', 'process model new', 'program analysis new']"
3127,"Lessner , Susan M.",transgenic mouse,['I.2.10'],"['Vision and Scene Understanding (I.4.8, I.5)', ' 3D/stereo scene analysis (NEW)', ' Architecture and control structures**', ' Intensity, color, photometry, and thresholding', ' Modeling and recovery of physical attributes', ' Motion', ' Perceptual reasoning', ' Representations, data structures, and transforms', ' Shape', ' Texture', ' Video analysis (NEW)']","['vision scene understanding', 'scene analysis new', 'architecture control structure', 'intensity color photometry thresholding', 'modeling recovery physical attribute', 'motion', 'perceptual reasoning', 'representation data structure transforms', 'shape', 'texture', 'video analysis new']"
3128,"Lessner , Susan M.",major role,['J.1'],"['ADMINISTRATIVE DATA PROCESSING', ' Business', ' Education', ' Financial (e.g., EFTS)', ' Government', ' Law', ' Manufacturing', ' Marketing', ' Military']","['administrative data processing', 'business', 'education', 'financial eg eft', 'government', 'law', 'manufacturing', 'marketing', 'military']"
3129,"Lessner , Susan M.",destabilizing factor plaque progression use transgenic mouse model human endarterectomy specimen examine relationship mechanical loading environment,['E.3'],"['DATA ENCRYPTION', ' Code breaking (NEW)', ' Data encryption standard (DES)**', ' Public key cryptosystems', ' Standards (e.g., DES, PGP, RSA) (NEW)']","['data encryption', 'code breaking new', 'data encryption standard de', 'public key cryptosystems', 'standard eg de pgp rsa new']"
3130,"Lessner , Susan M.",matrix organization,['G.1.3'],"['Numerical Linear Algebra', ' Conditioning', ' Determinants**', ' Eigenvalues and eigenvectors (direct and iterative methods) (REVISED)', ' Error analysis', ' Linear systems (direct and iterative methods)', ' Matrix inversion', ' Pseudoinverses**', ' Singular value decomposition (NEW)', ' Sparse, structured, and very large systems (direct and iterative methods) (REVISED)']","['numerical linear algebra', 'conditioning', 'determinant', 'eigenvalue eigenvectors direct iterative method revised', 'error analysis', 'linear system direct iterative method', 'matrix inversion', 'pseudoinverses', 'singular value decomposition new', 'sparse structured large system direct iterative method revised']"
3131,"Lessner , Susan M.",failure plaque,['F.2.1'],"['Numerical Algorithms and Problems (G.1, G.4, I.1)', ' Computation of transforms (e.g., fast Fourier transform)', ' Computations in finite fields', ' Computations on matrices', ' Computations on polynomials', ' Number-theoretic computations (e.g., factoring, primality testing)']","['numerical algorithm problem', 'computation transforms eg fast fourier transform', 'computation finite field', 'computation matrix', 'computation polynomial', 'numbertheoretic computation eg factoring primality testing']"
3132,"Lessner , Susan M.",angiogenesis atherosclerotic,['I.2.6'],"['Learning (K.3.2)', ' Analogies', ' Concept learning', ' Connectionism and neural nets', ' Induction', ' Knowledge acquisition', ' Language acquisition', ' Parameter learning']","['learning', 'analogy', 'concept learning', 'connectionism neural net', 'induction', 'knowledge acquisition', 'language acquisition', 'parameter learning']"
3133,"Lessner , Susan M.",stroke evidence,['I.5.1'],"['Models', ' Deterministic**', ' Fuzzy set', ' Geometric', ' Neural nets', ' Statistical', ' Structural']","['model', 'deterministic', 'fuzzy set', 'geometric', 'neural net', 'statistical', 'structural']"
3134,"Lessner , Susan M.",play major,['A.0'],"['GENERAL', ' Biographies/autobiographies', ' Conference proceedings', ' General literary works (e.g., fiction, plays)']","['general', 'biographiesautobiographies', 'conference proceeding', 'general literary work eg fiction play']"
3135,"Lessner , Susan M.",atherosclerotic plaque,"['C.2.1', 'C.2.5']","['Network Architecture and Design', ' Asynchronous Transfer Mode (ATM) (NEW)', ' Centralized networks**', ' Circuit-switching networks', ' Distributed networks', ' Frame relay networks (NEW)', ' ISDN (Integrated Services Digital Network)', ' Network communications', ' Network topology', ' Packet-switching networks (REVISED)', ' Store and forward networks', ' Wireless communication (NEW)', 'Local and Wide-Area Networks (REVISED)', ' Access schemes', ' Buses']","['network architecture design', 'asynchronous transfer mode atm new', 'centralized network', 'circuitswitching network', 'distributed network', 'frame relay network new', 'isdn integrated service digital network', 'network communication', 'network topology', 'packetswitching network revised', 'store forward network', 'wireless communication new', 'local widearea network revised', 'access scheme', 'bus']"
