alpha,cost_multiplier,max_candidates,G_mean,G_std,Volume_mean,top_goodness_mean,n_rows,n_researchers,n_proposals,table2_sp,table3_sp,table3_csp,table3_eo,table3_prp,table3_te,fairness_top_goodness_mean
0.5,0.14,18,0.36484989,0.005565758714712673,9.43,0.40000919999999995,1000,25,40,0.0841400010719837,0.06091120974631353,0.058601000796764315,0.10414574570002261,0.09896847022187621,0.8738613052705131,0.39842182783214464
0.5,0.14,22,0.36484989,0.005565758714712673,9.43,0.40000919999999995,1000,25,40,0.0841400010719837,0.06091120974631353,0.058601000796764315,0.10414574570002261,0.09896847022187621,0.8738613052705131,0.39842182783214464
0.5,0.14,14,0.36480339000000006,0.005552978722307518,9.43,0.40000919999999995,1000,25,40,0.08436809710695059,0.06060669753424758,0.05828422100554192,0.10395041833039947,0.09861625414149289,0.873133106666593,0.3984280418014431
0.5,0.2,18,0.36466609000000005,0.005580070133466067,9.43,0.3999842,1000,25,40,0.0802202375236083,0.06747876606732761,0.06529086291228475,0.11492290903632421,0.09869989658657424,0.8973431336231827,0.39844019884009946
0.5,0.2,22,0.36466609000000005,0.005580070133466067,9.43,0.3999842,1000,25,40,0.0802202375236083,0.06747876606732761,0.06529086291228475,0.11492290903632421,0.09869989658657424,0.8973431336231827,0.39844019884009946
0.5,0.2,14,0.36461958999999994,0.005567473135489744,9.43,0.3999842,1000,25,40,0.08044615220407725,0.06717842357039888,0.06497951949683264,0.11472954693812171,0.09834925300024494,0.8966646049676097,0.39844640815311955
0.35,0.14,18,0.36461593000000003,0.005383957652842378,9.43,0.3988267999999999,1000,25,40,0.07707003603838303,0.0703763407071602,0.06829321676061585,0.10973860544070071,0.11362191489841361,0.9270690968617554,0.3970215316959841
0.35,0.14,22,0.36461593000000003,0.005383957652842378,9.43,0.3988267999999999,1000,25,40,0.07707003603838303,0.0703763407071602,0.06829321676061585,0.10973860544070071,0.11362191489841361,0.9270690968617554,0.3970215316959841
0.35,0.2,18,0.36461093000000006,0.005377938202285335,9.43,0.3988267999999999,1000,25,40,0.07707003603838303,0.0703763407071602,0.06829321676061585,0.10973860544070071,0.11362191489841361,0.9270690968617554,0.3970215316959841
0.35,0.2,22,0.36461093000000006,0.005377938202285335,9.43,0.3988267999999999,1000,25,40,0.07707003603838303,0.0703763407071602,0.06829321676061585,0.10973860544070071,0.11362191489841361,0.9270690968617554,0.3970215316959841
0.35,0.26,18,0.36451226,0.005283702415674073,9.43,0.3988267999999999,1000,25,40,0.07736311927402195,0.07000208978422562,0.06790638490611527,0.1094908272956418,0.11314844085352888,0.9256027551503967,0.3970215316959841
0.35,0.26,22,0.36451226,0.005283702415674073,9.43,0.3988267999999999,1000,25,40,0.07736311927402195,0.07000208978422562,0.06790638490611527,0.1094908272956418,0.11314844085352888,0.9256027551503967,0.3970215316959841
0.35,0.14,14,0.3644993899999999,0.005406530396696201,9.43,0.3988267999999999,1000,25,40,0.08104305719146708,0.06516092737049595,0.06288050821521167,0.10639272361160063,0.107640127244926,0.9142113251954411,0.39714851279494845
0.35,0.2,14,0.36449439,0.005400428208059059,9.43,0.3988267999999999,1000,25,40,0.08104305719146708,0.06516092737049595,0.06288050821521167,0.10639272361160063,0.107640127244926,0.9142113251954411,0.39714851279494845
0.35,0.26,14,0.36439572,0.005306442171229233,9.43,0.3988267999999999,1000,25,40,0.08133752126684989,0.06478198961483583,0.06248731651499086,0.10614127188552486,0.1071509358183852,0.9127019955672203,0.39714851279494845
0.5,0.26,18,0.36422989,0.0055738856438215505,9.43,0.39938419999999997,1000,25,40,0.0828425979852887,0.06245429826610249,0.06018321917667692,0.10530867665112711,0.101744191909515,0.8892775424353128,0.3975581872559608
0.5,0.26,22,0.36422989,0.0055738856438215505,9.43,0.39938419999999997,1000,25,40,0.0828425979852887,0.06245429826610249,0.06018321917667692,0.10530867665112711,0.101744191909515,0.8892775424353128,0.3975581872559608
0.5,0.26,14,0.36418338999999994,0.005561065886176868,9.43,0.39938419999999997,1000,25,40,0.08307171138513983,0.06214978605403654,0.05986658758234558,0.10511334928150398,0.10139197582913168,0.8885493438313927,0.3975643403123961
0.65,0.2,18,0.36333601000000004,0.00545584733954315,9.43,0.3986031,1000,25,40,0.08578509583679027,0.05494990212239853,0.052826500301935954,0.10780963611224886,0.08601733960862024,0.8641501908468652,0.39685738678544913
0.65,0.2,22,0.36333601000000004,0.00545584733954315,9.43,0.3986031,1000,25,40,0.08578509583679027,0.05494990212239853,0.052826500301935954,0.10780963611224886,0.08601733960862024,0.8641501908468652,0.39685738678544913
0.65,0.26,18,0.36333601000000004,0.00545584733954315,9.43,0.3986031,1000,25,40,0.08578509583679027,0.05494990212239853,0.052826500301935954,0.10780963611224886,0.08601733960862024,0.8641501908468652,0.39685738678544913
0.65,0.26,22,0.36333601000000004,0.00545584733954315,9.43,0.3986031,1000,25,40,0.08578509583679027,0.05494990212239853,0.052826500301935954,0.10780963611224886,0.08601733960862024,0.8641501908468652,0.39685738678544913
0.65,0.14,18,0.36333476,0.00545215956914323,9.43,0.3986031,1000,25,40,0.08578509583679027,0.05494990212239853,0.052826500301935954,0.10780963611224886,0.08601733960862024,0.8641501908468652,0.39685738678544913
0.65,0.14,22,0.36333476,0.00545215956914323,9.43,0.3986031,1000,25,40,0.08578509583679027,0.05494990212239853,0.052826500301935954,0.10780963611224886,0.08601733960862024,0.8641501908468652,0.39685738678544913
0.65,0.2,14,0.36328592,0.005436697509849157,9.43,0.3986031,1000,25,40,0.08584553545793852,0.05487702968691094,0.05275166611568541,0.10775489160930704,0.08588826257877985,0.8634452507131551,0.3968507340811613
0.65,0.26,14,0.36328592,0.005436697509849157,9.43,0.3986031,1000,25,40,0.08584553545793852,0.05487702968691094,0.05275166611568541,0.10775489160930704,0.08588826257877985,0.8634452507131551,0.3968507340811613
0.65,0.14,14,0.36328467000000003,0.0054330262850091175,9.43,0.3986031,1000,25,40,0.08584553545793852,0.05487702968691094,0.05275166611568541,0.10775489160930704,0.08588826257877985,0.8634452507131551,0.3968507340811613
