nsf_proposal_links_v0,researcher,pseudo_skills
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Gaurav Raheja,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harshit Sosan Lakra,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,['decade']
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhjot Singh Chani,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,E Rajasekar,['decade']
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ram Sateesh Pasupuleti,['pace']
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Saptarshi Kolay,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Shubhajit Sadhukhan,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Smriti Saraswat,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sonal Atreya,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Tina Pujara,['pace']
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Uttam Kumar Roy,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,V Devadas,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Jaydev Dabas,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Millie Pant,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Rajan Arora,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ashwani Kumar Sharma,['pace']
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Bijan Choudhury,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Debabrata Sircar,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Deepak Sharma,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,P Gopinath,['pace']
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harsh Chauhan,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Srinivas Kiran Ambatipudi,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Krishna Mohan Poluri,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Maya S.Nair,['pace']
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,N K Navani,['pace']
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Partha Roy,['pace']
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Poonam Choudhary,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhat Kumar Mandal,"['decade', 'pace']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Pranita P Sarangi,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Pravindra Kumar,['pace']
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prince Tiwari,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,R. P. Singh,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ramasare Prasad,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ranjana Pathania,['decade']
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sanjoy Ghosh,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Saugata Hazra,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Shailly Tomar,['pace']
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Shri Ram Yadav,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Soma Rohatgi,['decade']
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sachin Suresh Tiwari,['decade']
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Jitin Singla,['pace']
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Rajesh Kumar,['decade']
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Akhil Upadhyay,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Arindam Biswas,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Avlokita Agrawal,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Gaurav Raheja,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Harshit Sosan Lakra,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Mahua Mukherjee,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Prabhjot Singh Chani,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,E Rajasekar,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Ram Sateesh Pasupuleti,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Saptarshi Kolay,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Shubhajit Sadhukhan,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Smriti Saraswat,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Sonal Atreya,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Tina Pujara,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Uttam Kumar Roy,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,V Devadas,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Jaydev Dabas,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Millie Pant,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Rajan Arora,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Ashwani Kumar Sharma,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Bijan Choudhury,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Debabrata Sircar,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Deepak Sharma,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,P Gopinath,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Harsh Chauhan,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Srinivas Kiran Ambatipudi,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Krishna Mohan Poluri,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Maya S.Nair,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,N K Navani,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Partha Roy,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Poonam Choudhary,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Prabhat Kumar Mandal,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Pranita P Sarangi,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Pravindra Kumar,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Prince Tiwari,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,R. P. Singh,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Ramasare Prasad,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Ranjana Pathania,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Sanjoy Ghosh,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Saugata Hazra,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Shailly Tomar,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Shri Ram Yadav,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Soma Rohatgi,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Sachin Suresh Tiwari,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Jitin Singla,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Rajesh Kumar,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Akhil Upadhyay,['general']
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Arindam Biswas,"['building', 'capacity building', 'decade']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Avlokita Agrawal,"['building', 'capacity building', 'chair']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Gaurav Raheja,['chair']
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Harshit Sosan Lakra,[]
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Mahua Mukherjee,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Prabhjot Singh Chani,['building']
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,E Rajasekar,"['building', 'capacity building', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Ram Sateesh Pasupuleti,[]
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Saptarshi Kolay,"['building', 'capacity building', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Shubhajit Sadhukhan,['demand']
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Smriti Saraswat,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Sonal Atreya,['decade']
