proposal_link,researcher_name,rank_in_pool,cosine_sim
https://www.nsf.gov/pubs/2021/nsf21598/nsf21598.htm,"Regalbuto, John R.",50,0.3210436701774597
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Loiselle, Val",1,0.4898228645324707
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Viparelli, Enrica",2,0.48834729194641113
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Berge, Nicole D.",3,0.48247647285461426
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Hoque, Shamia",4,0.4753296971321106
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Flora, Joseph",5,0.4500187337398529
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"McAnally, A. Steve",6,0.4269194006919861
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Sabalowsky, Andrew",7,0.41994598507881165
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Goharian, Erfan",8,0.41020652651786804
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Chaudhry, Hanif",9,0.4064854383468628
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Dryer, Frederick  L. ",10,0.40340662002563477
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Besmann, Theodore  M.",11,0.390047550201416
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Mustain, William E",12,0.38606947660446167
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Nezhad, Cyrus Riahi",13,0.38575127720832825
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Gray, Joshua",14,0.3831099271774292
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Lauterbach, Jochen",15,0.38105106353759766
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Reifsnider, Kenneth ",16,0.3790030777454376
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"McCants, Dale ",17,0.3740847408771515
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Roberts, Elwyn",18,0.3689976930618286
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Meekins, Benjamin H.",19,0.36685609817504883
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Tooren, Michel  van",20,0.3643551766872406
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Yoon, Yeomin",21,0.3628661036491394
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Huang, Kevin ",22,0.36176255345344543
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Vogt, Thomas",23,0.3603160083293915
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Sasanakul, Inthuorn",24,0.3584977388381958
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Shimpalee, Sirivatch",25,0.35314011573791504
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Wei, Xiaojun",26,0.35165977478027344
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Matthews, Michael A.",27,0.35124996304512024
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Xue, Xingjian (Chris) ",28,0.344708114862442
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Heyden, Andreas",29,0.3405671715736389
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Roberts, Kenneth L",30,0.33983805775642395
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Knight, Travis W.",31,0.3381260335445404
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Gürdal, Zafer ",32,0.3364415466785431
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Haj-Hariri, Hossein ",33,0.33628854155540466
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Gassman, Sarah",34,0.3337720036506653
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Eberth, John F.",35,0.3295556604862213
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Wang, Yi",36,0.3241507411003113
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Humphries, Wilfred Kenneth",37,0.3230009973049164
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Farouk, Tanvir   I.",38,0.3217118978500366
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Gholizadeh, Sona",39,0.318504273891449
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Jabbari, Esmaiel",40,0.31765663623809814
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Ortiz-Hernandez, Ivelisse",41,0.3167714774608612
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Glenn Jr., Odell",42,0.312993586063385
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Taheri-Qazvini, Nader ",43,0.3092765510082245
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Chen, Fanglin (Frank)",44,0.30780577659606934
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Tang, Chuanbing",45,0.30743712186813354
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Rose, John R. ",46,0.30033236742019653
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Rhodes, Curtis ",47,0.3000982999801636
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Monnier, John R.",48,0.29741063714027405
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Coman, Paul",49,0.2967849671840668
https://www.nsf.gov/pubs/2021/nsf21527/nsf21527.htm,"Won, Sang Hee",50,0.2965283989906311
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Fenner, Stephen A. ",1,0.4840833246707916
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Tang, Jijun",2,0.44173336029052734
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Cole, Casey",3,0.4361676573753357
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Zand, Ramtin",4,0.4355486333370209
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Valafar, Homayoun",5,0.42975205183029175
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Hu, Jianjun",6,0.3984900414943695
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Agostinelli, Forest",7,0.3546447455883026
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Rose, John R. ",8,0.35220015048980713
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Zhang, Qi",9,0.3380097448825836
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Peters, Wally ",10,0.3316686451435089
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"McNeill, Stephen ",11,0.3252260088920593
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Sheth, Amit",12,0.32134464383125305
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Huhns, Michael N.",13,0.3197953701019287
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Jamshidi, Pooyan ",14,0.3098556399345398
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Matthews, Manton M",15,0.30978652834892273
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Vidal, Jose M. ",16,0.307145357131958
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Chen, Yuche",17,0.2989007532596588
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Valtorta, Marco",18,0.2962152361869812
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Vargas, Juan",19,0.2888432741165161
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Heyden, Andreas",20,0.286197304725647
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Rhodes, Curtis ",21,0.2860409617424011
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Brookshire, Robert G., Ph.D.",22,0.28486335277557373
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Wang, Song",23,0.2846072316169739
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Vitzilaios, Nikolaos (Nikos)",24,0.28148916363716125
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Bischoff, Jeff ",25,0.27614036202430725
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Ranson, Bill ",26,0.2701115310192108
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Koppel, Tarmo",27,0.2691071629524231
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Stiffler, Nick",28,0.2659403383731842
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"O'Kane, Jason",29,0.2659403383731842
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Flora, Joseph",30,0.26421019434928894
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Xu, Songhua",31,0.26261505484580994
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Uline, Mark J.",32,0.2619345784187317
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Pain, Christopher C.",33,0.2605687081813812
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Santi, Enrico",34,0.25752896070480347
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Farouk, Tanvir   I.",35,0.2536882758140564
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Gürdal, Zafer ",36,0.2514033019542694
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Bakos, Jason D. ",37,0.2504807710647583
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Sutton, Michael",38,0.24668236076831818
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Karakchi, Rasha",39,0.24663446843624115
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"McCants, Dale ",40,0.24227383732795715
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Tong, Yan",41,0.2397077977657318
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Boltin, Nicholas D.",42,0.23802489042282104
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Shimpalee, Sirivatch",43,0.2372891902923584
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Deng, Xiaomin ",44,0.23679876327514648
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Cui, Taixing",45,0.2346336841583252
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Khan, Jamil   A.",46,0.23307456076145172
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Sockalingam, Subramani ",47,0.22883057594299316
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Schooley, Benjamin",48,0.22777493298053741
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Sabalowsky, Andrew",49,0.22624020278453827
https://www.nsf.gov/pubs/2020/nsf20609/nsf20609.htm,"Sudarshan, Tangali S.",50,0.22425028681755066
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Chen, Yuche",1,0.537834644317627
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Boltin, Nicholas D.",2,0.5060264468193054
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Zhang, Qi",3,0.49611538648605347
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Koppel, Tarmo",4,0.47805625200271606
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Valtorta, Marco",5,0.47649282217025757
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Srivastava, Biplav",6,0.4571596682071686
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Jamshidi, Pooyan ",7,0.45250949263572693
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Sheth, Amit",8,0.44084668159484863
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Agostinelli, Forest",9,0.4267854690551758
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Vidal, Jose M. ",10,0.3919011652469635
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Hu, Jianjun",11,0.3882822096347809
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Xu, Songhua",12,0.38546204566955566
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Valafar, Homayoun",13,0.3830385208129883
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Zand, Ramtin",14,0.3661690056324005
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Wang, Song",15,0.3603852093219757
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Hikmet, Neset",16,0.3601309657096863
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Wu, Dezhi",17,0.33036935329437256
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Brookshire, Robert G., Ph.D.",18,0.3275830149650574
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Tang, Jijun",19,0.3171001076698303
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Schooley, Benjamin",20,0.31284967064857483
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Stiffler, Nick",21,0.3044687509536743
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"O'Kane, Jason",22,0.3044687509536743
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Huhns, Michael N.",23,0.30375632643699646
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Vitzilaios, Nikolaos (Nikos)",24,0.2925495505332947
https://www.nsf.gov/pubs/2020/nsf20604/nsf20604.htm,"Bakos, Jason D. ",25,0.2883639335632324
