Metric,M0: Random baseline,M1: String / lexical matching,M2: Semantic mapper matching,M3: BoostSRL / relational learning,M6: Exact knapsack coverage,M7: Marginal-utility knapsack
SP,0.0102,0.0031,0.02,0.0646,0.0066,0.0391
CSP,0.0712,0.0914,0.088,0.1513,0.0616,0.2298
EO,0.0236,0.0111,0.0293,0.0686,0.0058,0.0753
PRP,0.009,0.0245,0.0313,0.0859,0.037,0.0956
TE,0.0487,1.197,0.5669,15.0513,1.0258,6.2816
