nsf_proposal_links_v0,researcher,pseudo_skills
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Tina Pujara,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Uttam Kumar Roy,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,V Devadas,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Jaydev Dabas,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Millie Pant,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Rajan Arora,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Ashwani Kumar Sharma,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Bijan Choudhury,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Debabrata Sircar,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Deepak Sharma,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,P Gopinath,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Harsh Chauhan,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Srinivas Kiran Ambatipudi,[]
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Krishna Mohan Poluri,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Maya S.Nair,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,N K Navani,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Partha Roy,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Poonam Choudhary,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Prabhat Kumar Mandal,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Pranita P Sarangi,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Pravindra Kumar,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Prince Tiwari,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,R. P. Singh,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Ramasare Prasad,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Ranjana Pathania,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Sanjoy Ghosh,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Saugata Hazra,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Shailly Tomar,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Shri Ram Yadav,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Soma Rohatgi,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Sachin Suresh Tiwari,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Jitin Singla,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Rajesh Kumar,['general']
v0_002_dst_daad_germany_joint_call_for_proposal_2017,Akhil Upadhyay,['general']
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Arindam Biswas,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Avlokita Agrawal,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Gaurav Raheja,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Harshit Sosan Lakra,"['decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Mahua Mukherjee,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Prabhjot Singh Chani,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,E Rajasekar,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Ram Sateesh Pasupuleti,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Saptarshi Kolay,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Shubhajit Sadhukhan,"['building', 'capacity building', 'chair', 'decade', 'demand']"
v0_003_call_for_applications_under_the_second_phase_of_the_national_geospatial_chair_professor_scheme,Smriti Saraswat,"['building', 'capacity building', 'chair', 'decade', 'demand']"
