,nsf_proposal_links_v1,skills
33,https://www.nsf.gov/pubs/2020/nsf20500/nsf20500.htm,"{'chemical', 'civil', 'tissue engineering', 'national science', 'mechanobiology', 'engineering', 'science foundation', 'foundation nsf'}"
34,https://www.nsf.gov/pubs/2019/nsf19614/nsf19614.htm,"{'learning', 'engineering', 'engineering department', 'engineering material', 'first year', 'material', 'capstone design', 'year', 'professional engineer', 'engineering education', 'professional practice'}"
35,https://www.nsf.gov/pubs/2019/nsf19613/nsf19613.htm,"{'learning', 'machine learning', 'engineering', 'computer information', 'system application', 'information science', 'year', 'modeling', 'synthesis', 'science engineering', 'embedded system', 'area'}"
36,https://www.nsf.gov/pubs/2019/nsf19599/nsf19599.htm,"{'engineering', 'directorate engineering', 'area'}"
37,https://www.nsf.gov/pubs/2019/nsf19596/nsf19596.htm,"{'applied mathematics', 'engineering', 'material science', 'physic', 'material', 'plasma', 'property', 'science engineering'}"
38,https://www.nsf.gov/pubs/2019/nsf19589/nsf19589.htm,"{'engineering', 'science engineering', 'information science', 'communication', 'computer information', 'project develop'}"
39,https://www.nsf.gov/pubs/2019/nsf19577/nsf19577.htm,"{'chemical', 'imaging', 'chemistry', 'computational method', 'catalysis', 'dynamic', 'synthesis'}"
40,https://www.nsf.gov/pubs/2019/nsf19575/nsf19575.htm,"{'mm', 'statistic', 'development'}"
41,https://www.nsf.gov/pubs/2019/nsf19572/nsf19572.htm,"{'engineering', 'problem involving', 'cyber system', 'security'}"
42,https://www.nsf.gov/pubs/2019/nsf19571/nsf19571.htm,"{'learning', 'national science', 'machine learning', 'science foundation', 'health', 'artificial intelligence', 'ai system', 'ha long', 'ai', 'security'}"
43,https://www.nsf.gov/pubs/2019/nsf19553/nsf19553.htm,"{'civil', 'range application', 'artificial intelligence', 'personalized medicine', 'security', 'energy'}"
44,https://www.nsf.gov/pubs/2019/nsf19536/nsf19536.htm,"{'national science', 'united state', 'robotics', 'science foundation', 'development'}"
45,https://www.nsf.gov/pubs/2019/nsf19532/nsf19532.htm,"{'national science', 'engineering', 'science foundation', 'program director', 'foundation nsf', 'area future', 'science engineering', 'area'}"
46,https://www.nsf.gov/pubs/2019/nsf19529/nsf19529.htm,"{'national science', 'engineering', 'science foundation', 'computer information', 'directorate engineering', 'information science', 'service', 'security', 'science engineering', 'energy'}"
