proposal_link,title,skills,researcher_name,team,goodness
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Arindam Biswas,"[['Arindam Biswas', 'Smriti Saraswat', 'Rajesh Kumar', 'Ram Sateesh Pasupuleti'], ['Arindam Biswas', 'Smriti Saraswat', 'Ram Sateesh Pasupuleti'], ['Arindam Biswas', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar'], ['Arindam Biswas', 'Rajesh Kumar', 'Smriti Saraswat']]","[0.6, 0.575, 0.575, 0.575]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Avlokita Agrawal,"[['Avlokita Agrawal', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Smriti Saraswat'], ['Avlokita Agrawal', 'Smriti Saraswat', 'Ram Sateesh Pasupuleti'], ['Avlokita Agrawal', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar'], ['Avlokita Agrawal', 'Rajesh Kumar', 'Smriti Saraswat']]","[0.6, 0.575, 0.575, 0.575]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Gaurav Raheja,"[['Gaurav Raheja', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Smriti Saraswat'], ['Gaurav Raheja', 'Smriti Saraswat', 'Ram Sateesh Pasupuleti'], ['Gaurav Raheja', 'Smriti Saraswat', 'Rajesh Kumar'], ['Gaurav Raheja', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar']]","[0.6, 0.575, 0.575, 0.575]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Harshit Sosan Lakra,"[['Harshit Sosan Lakra', 'Rajesh Kumar', 'Ram Sateesh Pasupuleti', 'Smriti Saraswat'], ['Harshit Sosan Lakra', 'Ram Sateesh Pasupuleti', 'Smriti Saraswat'], ['Harshit Sosan Lakra', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar'], ['Harshit Sosan Lakra', 'Rajesh Kumar', 'Smriti Saraswat']]","[0.6, 0.575, 0.575, 0.575]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Mahua Mukherjee,"[['Mahua Mukherjee', 'Smriti Saraswat', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar'], ['Mahua Mukherjee', 'Smriti Saraswat', 'Ram Sateesh Pasupuleti'], ['Mahua Mukherjee', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar'], ['Mahua Mukherjee', 'Rajesh Kumar', 'Smriti Saraswat']]","[0.6, 0.575, 0.575, 0.575]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Prabhjot Singh Chani,"[['Prabhjot Singh Chani', 'Smriti Saraswat', 'Rajesh Kumar', 'Ram Sateesh Pasupuleti'], ['Prabhjot Singh Chani', 'Smriti Saraswat', 'Ram Sateesh Pasupuleti'], ['Prabhjot Singh Chani', 'Rajesh Kumar', 'Smriti Saraswat'], ['Prabhjot Singh Chani', 'Rajesh Kumar', 'Ram Sateesh Pasupuleti']]","[0.6, 0.575, 0.575, 0.575]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",E Rajasekar,"[['E Rajasekar', 'Rajesh Kumar', 'Ram Sateesh Pasupuleti', 'Smriti Saraswat'], ['E Rajasekar', 'Smriti Saraswat', 'Ram Sateesh Pasupuleti'], ['E Rajasekar', 'Rajesh Kumar', 'Smriti Saraswat'], ['E Rajasekar', 'Rajesh Kumar', 'Ram Sateesh Pasupuleti']]","[0.6, 0.575, 0.575, 0.575]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Ram Sateesh Pasupuleti,"[['Ram Sateesh Pasupuleti', 'Rajesh Kumar', 'Smriti Saraswat'], ['Ram Sateesh Pasupuleti', 'Smriti Saraswat'], ['Ram Sateesh Pasupuleti', 'Rajesh Kumar']]","[0.575, 0.55, 0.55]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Saptarshi Kolay,"[['Saptarshi Kolay', 'Ram Sateesh Pasupuleti', 'Smriti Saraswat', 'Rajesh Kumar'], ['Saptarshi Kolay', 'Smriti Saraswat', 'Rajesh Kumar'], ['Saptarshi Kolay', 'Ram Sateesh Pasupuleti', 'Smriti Saraswat'], ['Saptarshi Kolay', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar']]","[0.6, 0.575, 0.575, 0.575]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Shubhajit Sadhukhan,"[['Shubhajit Sadhukhan', 'Smriti Saraswat', 'Rajesh Kumar', 'Ram Sateesh Pasupuleti'], ['Shubhajit Sadhukhan', 'Smriti Saraswat', 'Ram Sateesh Pasupuleti'], ['Shubhajit Sadhukhan', 'Ram Sateesh Pasupuleti', 'Rajesh Kumar'], ['Shubhajit Sadhukhan', 'Rajesh Kumar', 'Smriti Saraswat']]","[0.6, 0.575, 0.575, 0.575]"
