proposal_link,title,skills,researcher_name,team,goodness
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Smriti Saraswat,"[['Smriti Saraswat', 'Sonal Atreya', 'Tina Pujara', 'Debabrata Sircar', 'Partha Roy'], ['Smriti Saraswat', 'Maya S.Nair', 'Arindam Biswas', 'Sachin Suresh Tiwari', 'Ashwani Kumar Sharma'], ['Smriti Saraswat', 'Ranjana Pathania', 'N K Navani', 'Arindam Biswas'], ['Smriti Saraswat', 'Prabhat Kumar Mandal', 'Soma Rohatgi', 'Deepak Sharma'], ['Smriti Saraswat', 'Arindam Biswas', 'Tina Pujara', 'Deepak Sharma'], ['Smriti Saraswat', 'V Devadas', 'Pravindra Kumar'], ['Smriti Saraswat', 'Arindam Biswas'], ['Smriti Saraswat', 'Ram Sateesh Pasupuleti', 'N K Navani'], ['Smriti Saraswat', 'Tina Pujara'], ['Smriti Saraswat', 'Partha Roy']]","[0.625, 0.625, 0.6, 0.6, 0.6, 0.575, 0.55, 0.5125, 0.4875, 0.4875]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Sonal Atreya,"[['Sonal Atreya', 'Jitin Singla', 'Ranjana Pathania', 'Shailly Tomar', 'Maya S.Nair'], ['Sonal Atreya', 'Deepak Sharma', 'Jitin Singla', 'Shailly Tomar', 'Pravindra Kumar'], ['Sonal Atreya', 'Ram Sateesh Pasupuleti', 'V Devadas', 'Arindam Biswas'], ['Sonal Atreya', 'P Gopinath', 'Arindam Biswas', 'Deepak Sharma'], ['Sonal Atreya', 'V Devadas', 'Ranjana Pathania'], ['Sonal Atreya', 'V Devadas', 'Debabrata Sircar'], ['Sonal Atreya', 'Deepak Sharma', 'Debabrata Sircar'], ['Sonal Atreya', 'Debabrata Sircar'], ['Sonal Atreya', 'Jitin Singla', 'Tina Pujara', 'Maya S.Nair'], ['Sonal Atreya', 'Shailly Tomar']]","[0.625, 0.625, 0.6, 0.6, 0.575, 0.575, 0.575, 0.55, 0.5375, 0.4875]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Tina Pujara,"[['Tina Pujara', 'V Devadas', 'Sonal Atreya', 'Pravindra Kumar'], ['Tina Pujara', 'Ram Sateesh Pasupuleti', 'Arindam Biswas', 'Ranjana Pathania'], ['Tina Pujara', 'V Devadas', 'Prabhat Kumar Mandal'], ['Tina Pujara', 'Jitin Singla', 'Shailly Tomar', 'Soma Rohatgi', 'N K Navani'], ['Tina Pujara', 'Partha Roy', 'Sonal Atreya', 'P Gopinath'], ['Tina Pujara', 'Krishna Mohan Poluri', 'Pravindra Kumar', 'P Gopinath'], ['Tina Pujara', 'Ranjana Pathania', 'Ashwani Kumar Sharma'], ['Tina Pujara', 'Sonal Atreya'], ['Tina Pujara', 'Ram Sateesh Pasupuleti', 'Ashwani Kumar Sharma', 'Jitin Singla', 'Maya S.Nair'], ['Tina Pujara', 'Ashwani Kumar Sharma']]","[0.6, 0.6, 0.575, 0.5625, 0.5375, 0.5375, 0.5125, 0.4875, 0.375, 0.3]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Uttam Kumar Roy,"[['Uttam Kumar Roy', 'Sachin Suresh Tiwari', 'N K Navani', 'Maya S.Nair', 'Prabhat Kumar Mandal'], ['Uttam Kumar Roy', 'Soma Rohatgi', 'Prabhat Kumar Mandal', 'Maya S.Nair'], ['Uttam Kumar Roy', 'Arindam Biswas', 'Debabrata Sircar'], ['Uttam Kumar Roy', 'Deepak Sharma', 'Shailly Tomar', 'Partha Roy', 'Pravindra Kumar'], ['Uttam Kumar Roy', 'Prabhat Kumar Mandal', 'P Gopinath'], ['Uttam Kumar Roy', 'Partha Roy', 'Soma Rohatgi'], ['Uttam Kumar Roy', 'P Gopinath', 'Pravindra Kumar', 'Tina Pujara'], ['Uttam Kumar Roy', 'Sachin Suresh Tiwari', 'Soma Rohatgi'], ['Uttam Kumar Roy', 'N K Navani'], ['Uttam Kumar Roy', 'Ashwani Kumar Sharma']]","[0.625, 0.6, 0.575, 0.5625, 0.5125, 0.45, 0.35, 0.325, 0.2375, 0.2375]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",V Devadas,"[['V Devadas', 'Ranjana Pathania', 'Debabrata Sircar', 'Jitin Singla', 'Partha Roy'], ['V Devadas', 'Tina Pujara', 'Soma Rohatgi', 'Ram Sateesh Pasupuleti'], ['V Devadas', 'Soma Rohatgi', 'Jitin Singla', 'Ranjana Pathania'], ['V Devadas', 'Partha Roy', 'Pravindra Kumar', 'Ranjana Pathania'], ['V Devadas', 'Prabhat Kumar Mandal', 'Jitin Singla'], ['V Devadas', 'Partha Roy', 'Deepak Sharma'], ['V Devadas', 'Deepak Sharma', 'Ashwani Kumar Sharma'], ['V Devadas', 'Shailly Tomar', 'Ram Sateesh Pasupuleti'], ['V Devadas', 'Pravindra Kumar', 'N K Navani'], ['V Devadas', 'Shailly Tomar']]","[0.625, 0.6, 0.6, 0.6, 0.575, 0.575, 0.575, 0.5125, 0.5125, 0.4875]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Jaydev Dabas,"[['Jaydev Dabas', 'Jitin Singla', 'V Devadas', 'Smriti Saraswat', 'N K Navani'], ['Jaydev Dabas', 'Arindam Biswas', 'Smriti Saraswat', 'Pravindra Kumar'], ['Jaydev Dabas', 'Arindam Biswas', 'Smriti Saraswat', 'P Gopinath'], ['Jaydev Dabas', 'Prabhat Kumar Mandal', 'N K Navani', 'Ashwani Kumar Sharma', 'Jitin Singla'], ['Jaydev Dabas', 'Ram Sateesh Pasupuleti', 'Maya S.Nair', 'Prabhat Kumar Mandal'], ['Jaydev Dabas', 'Soma Rohatgi', 'Deepak Sharma'], ['Jaydev Dabas', 'Debabrata Sircar'], ['Jaydev Dabas', 'Arindam Biswas'], ['Jaydev Dabas', 'Maya S.Nair', 'Pravindra Kumar', 'Partha Roy', 'Jitin Singla'], ['Jaydev Dabas', 'N K Navani', 'Jitin Singla']]","[0.625, 0.6, 0.6, 0.5625, 0.5375, 0.5125, 0.425, 0.425, 0.375, 0.325]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Millie Pant,"[['Millie Pant', 'Partha Roy', 'Sonal Atreya', 'Soma Rohatgi', 'Tina Pujara'], ['Millie Pant', 'Debabrata Sircar', 'Krishna Mohan Poluri', 'Jitin Singla', 'Sonal Atreya'], ['Millie Pant', 'Sachin Suresh Tiwari', 'Ram Sateesh Pasupuleti', 'Debabrata Sircar'], ['Millie Pant', 'Jitin Singla', 'Smriti Saraswat', 'Ram Sateesh Pasupuleti'], ['Millie Pant', 'Tina Pujara', 'Arindam Biswas'], ['Millie Pant', 'Prabhat Kumar Mandal', 'P Gopinath'], ['Millie Pant', 'Ashwani Kumar Sharma', 'Sonal Atreya'], ['Millie Pant', 'Sachin Suresh Tiwari', 'Jitin Singla'], ['Millie Pant', 'Sachin Suresh Tiwari', 'Soma Rohatgi'], ['Millie Pant', 'N K Navani', 'Maya S.Nair']]","[0.625, 0.625, 0.6, 0.5375, 0.5125, 0.5125, 0.5125, 0.45, 0.325, 0.325]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Rajan Arora,"[['Rajan Arora', 'Sachin Suresh Tiwari', 'Deepak Sharma', 'Tina Pujara', 'Jitin Singla'], ['Rajan Arora', 'Maya S.Nair', 'Prabhat Kumar Mandal', 'Arindam Biswas', 'Partha Roy'], ['Rajan Arora', 'Maya S.Nair', 'Debabrata Sircar', 'Tina Pujara', 'Partha Roy'], ['Rajan Arora', 'Jitin Singla', 'Ram Sateesh Pasupuleti', 'Deepak Sharma', 'Ashwani Kumar Sharma'], ['Rajan Arora', 'Deepak Sharma', 'Shailly Tomar'], ['Rajan Arora', 'Krishna Mohan Poluri'], ['Rajan Arora', 'Arindam Biswas'], ['Rajan Arora', 'Tina Pujara', 'Jitin Singla', 'Pravindra Kumar', 'Ashwani Kumar Sharma'], ['Rajan Arora', 'Shailly Tomar', 'Ashwani Kumar Sharma'], ['Rajan Arora', 'Sachin Suresh Tiwari']]","[0.625, 0.625, 0.5625, 0.5625, 0.5125, 0.425, 0.425, 0.375, 0.325, 0.2375]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Ashwani Kumar Sharma,"[['Ashwani Kumar Sharma', 'Shailly Tomar', 'Smriti Saraswat', 'Krishna Mohan Poluri', 'N K Navani'], ['Ashwani Kumar Sharma', 'Pravindra Kumar', 'Debabrata Sircar', 'Sachin Suresh Tiwari', 'N K Navani'], ['Ashwani Kumar Sharma', 'Debabrata Sircar', 'Prabhat Kumar Mandal', 'Shailly Tomar', 'Arindam Biswas'], ['Ashwani Kumar Sharma', 'Partha Roy', 'Jitin Singla', 'P Gopinath', 'Debabrata Sircar'], ['Ashwani Kumar Sharma', 'Ranjana Pathania', 'Jitin Singla'], ['Ashwani Kumar Sharma', 'Pravindra Kumar', 'Debabrata Sircar'], ['Ashwani Kumar Sharma', 'Tina Pujara'], ['Ashwani Kumar Sharma', 'P Gopinath'], ['Ashwani Kumar Sharma', 'N K Navani'], ['Ashwani Kumar Sharma', 'Maya S.Nair']]","[0.625, 0.625, 0.625, 0.5625, 0.5125, 0.5125, 0.3, 0.3, 0.3, 0.3]"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,2nd Call for Proposal for DST-STI Policy Fellowship Programme,"['decade', 'pace']",Bijan Choudhury,"[['Bijan Choudhury', 'Sonal Atreya', 'Smriti Saraswat', 'Ashwani Kumar Sharma', 'Shailly Tomar'], ['Bijan Choudhury', 'Sachin Suresh Tiwari', 'Shailly Tomar', 'Debabrata Sircar', 'Sonal Atreya'], ['Bijan Choudhury', 'Sachin Suresh Tiwari', 'Ram Sateesh Pasupuleti', 'Soma Rohatgi', 'Deepak Sharma'], ['Bijan Choudhury', 'Debabrata Sircar', 'Maya S.Nair', 'Soma Rohatgi', 'Ashwani Kumar Sharma'], ['Bijan Choudhury', 'Smriti Saraswat', 'Shailly Tomar', 'Krishna Mohan Poluri'], ['Bijan Choudhury', 'Debabrata Sircar', 'Smriti Saraswat', 'Sonal Atreya'], ['Bijan Choudhury', 'Pravindra Kumar', 'Shailly Tomar', 'Debabrata Sircar', 'Ashwani Kumar Sharma'], ['Bijan Choudhury', 'Partha Roy', 'Krishna Mohan Poluri'], ['Bijan Choudhury', 'Maya S.Nair', 'Deepak Sharma'], ['Bijan Choudhury', 'Prabhat Kumar Mandal']]","[0.625, 0.625, 0.625, 0.625, 0.6, 0.6, 0.5625, 0.5125, 0.5125, 0.425]"
