nsf_proposal_links_v0,researcher,pseudo_skills
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Arindam Biswas,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'development', 'india', 'potential', 'result', 'role']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Avlokita Agrawal,"['application', 'country', 'department', 'development', 'importance', 'india', 'major', 'potential', 'process', 'solution']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Gaurav Raheja,"['application', 'area', 'challenge', 'department', 'development', 'india', 'result', 'solution']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harshit Sosan Lakra,[]
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Mahua Mukherjee,"['application', 'decade', 'department', 'development', 'india', 'process', 'solution']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhjot Singh Chani,"['application', 'challenge', 'country', 'department', 'development', 'importance', 'india', 'major', 'range', 'solution']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,E Rajasekar,"['area', 'country', 'decade', 'importance', 'major', 'number', 'objective', 'result', 'role', 'solution']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ram Sateesh Pasupuleti,"['application', 'area', 'challenge', 'importance', 'major', 'number', 'objective', 'potential', 'role', 'solution']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Saptarshi Kolay,"['application', 'area', 'challenge', 'development', 'importance', 'process', 'range', 'result', 'role', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Shubhajit Sadhukhan,"['application', 'area', 'country', 'department', 'development', 'importance', 'number', 'potential', 'process', 'role']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Smriti Saraswat,"['application', 'decade', 'department', 'development', 'importance', 'india', 'number', 'potential', 'process', 'range', 'result', 'solution']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Sonal Atreya,"['application', 'area', 'challenge', 'country', 'decade', 'importance', 'major', 'number', 'process', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Tina Pujara,"['application', 'decade', 'importance', 'major', 'potential', 'range', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Uttam Kumar Roy,"['application', 'department', 'importance', 'major', 'process', 'result', 'role']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,V Devadas,"['application', 'area', 'decade', 'department', 'development', 'importance', 'range', 'result', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Jaydev Dabas,"['application', 'area', 'importance', 'major', 'process', 'result', 'role', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Millie Pant,"['application', 'area', 'decade', 'department', 'development', 'objective', 'potential', 'process', 'range']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Rajan Arora,"['application', 'country', 'department', 'major', 'solution', 'world']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Ashwani Kumar Sharma,"['area', 'decade', 'department', 'development', 'india', 'major', 'potential', 'process', 'role']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Bijan Choudhury,"['application', 'area', 'decade', 'department', 'development', 'importance', 'india', 'potential', 'role', 'solution']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Debabrata Sircar,"['application', 'country', 'decade', 'importance', 'objective', 'potential', 'process']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Deepak Sharma,"['application', 'area', 'challenge', 'country', 'decade', 'department', 'major', 'number', 'objective', 'process', 'solution']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,P Gopinath,"['application', 'challenge', 'department', 'development', 'importance', 'range']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Harsh Chauhan,"['application', 'area', 'country', 'decade', 'department', 'development', 'india', 'potential', 'process', 'role']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Srinivas Kiran Ambatipudi,['potential']
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Krishna Mohan Poluri,"['area', 'decade', 'department', 'development', 'importance', 'potential', 'range', 'result']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Maya S.Nair,"['application', 'challenge', 'country', 'importance', 'major', 'potential', 'process', 'range']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,N K Navani,"['decade', 'department', 'development', 'importance', 'potential', 'process', 'range', 'role']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Partha Roy,"['application', 'area', 'challenge', 'decade', 'department', 'development', 'potential', 'range', 'role', 'solution']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Poonam Choudhary,"['application', 'challenge', 'department', 'major', 'objective', 'potential', 'process', 'range', 'solution']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Prabhat Kumar Mandal,"['application', 'challenge', 'decade', 'department', 'development', 'importance', 'major', 'objective', 'potential', 'process', 'solution']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Pranita P Sarangi,"['area', 'process', 'role']"
v0_001_2nd_call_for_proposal_for_dst_sti_policy_fellowship_programme,Pravindra Kumar,"['application', 'area', 'decade', 'department', 'development', 'importance', 'major', 'potential', 'result', 'role', 'solution']"
