Group,Population Distribution,M0: Random baseline,M1: String / lexical matching,M2: Semantic mapper matching,M3: BoostSRL / relational learning,M6: Exact knapsack coverage,M7: Marginal-utility knapsack
Male,0.8553,0.8553,0.9282,0.8608,0.8644,0.8501,0.8556
Female,0.1447,0.1447,0.0718,0.1392,0.1356,0.1499,0.1444
SP,,0.0,0.0729,0.0055,0.009,0.0053,0.0002
